Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
🌵,210,master,https://www.kaggle.com/frankmollard,11,13,21,384,3 years ago
Ludovico Cuoghi,211,master,https://www.kaggle.com/ludovicocuoghi,3,15,1,383,2 years ago
Jiwei Liu,212,master,https://www.kaggle.com/jiweiliu,6,7,7,382,9 years ago
Firuz Juraev,213,master,https://www.kaggle.com/firuzjuraev,2,13,0,382,4 years ago
Mehran Kazeminia,214,master,https://www.kaggle.com/mehrankazeminia,2,15,13,380,3 years ago
Mobassir,215,grandmaster,https://www.kaggle.com/mobassir,18,6,8,379,4 years ago
Sy-Tuan Nguyen,216,expert,https://www.kaggle.com/sytuannguyen,2,7,17,378,3 years ago
Dmitry Uarov,217,master,https://www.kaggle.com/dmitryuarov,2,19,4,375,2 years ago
Trigram,218,master,https://www.kaggle.com/nxrprime,6,9,30,373,3 years ago
marketneutral,219,master,https://www.kaggle.com/marketneutral,8,6,3,371,5 years ago
Manoj Gharge,220,master,https://www.kaggle.com/manojgharge07,0,10,6,371,4 months ago
Vivek Chowdhury,221,master,https://www.kaggle.com/vivek468,3,15,3,370,4 years ago
Tanishq Gautam,222,master,https://www.kaggle.com/ligtfeather,10,7,7,368,3 years ago
Faisal Qureshi,223,master,https://www.kaggle.com/mfaisalqureshi,8,7,0,368,3 years ago
pixyz0130,224,expert,https://www.kaggle.com/pixyz0130,0,5,10,367,a year ago
Robert Kwiatkowski,225,expert,https://www.kaggle.com/datark1,4,4,7,366,5 years ago
Shubham Bisht,226,master,https://www.kaggle.com/mrbisht,2,8,0,365,a year ago
C. Beaud,227,expert,https://www.kaggle.com/cbeaud,2,6,12,364,6 months ago
Ilia Larchenko,228,master,https://www.kaggle.com/ilialar,8,4,2,363,6 years ago
Tanmay Deshpande,229,master,https://www.kaggle.com/tanmay111999,2,8,1,361,4 years ago
Josh,230,master,https://www.kaggle.com/joshuaswords,5,5,10,360,3 years ago
Morris Lee,231,master,https://www.kaggle.com/leekahwin,0,13,5,360,2 years ago
Kaggle Kerneler,232,expert,https://www.kaggle.com/kerneler,0,1,5,359,4 years ago
swimmy,233,master,https://www.kaggle.com/swimmy,3,7,7,358,6 years ago
Muhammad Bux Alvi,234,expert,https://www.kaggle.com/mbalvi75,0,9,11,358,5 years ago
