Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Madurai, Tamil Nadu, India",51,15,61,666,341,429,Notebooks Master
"Mumbai, Maharashtra, India",2,7,NA,7,347,430,Datasets Expert
"Seoul, Seoul, South Korea",18,9,5,55,387,431,Datasets Expert
"Jodhpur, Rajasthan, India",NA,11,11,40,423,444,Datasets Expert
NA,NA,10,NA,NA,362,432,Datasets Expert
"Osaka, Osaka, Japan",NA,14,22,219,412,419,Datasets Expert
"Nanchong, Sichuan, China",2,14,NA,3,239,448,Datasets Expert
"Tokyo, Tokyo, Japan",35,20,111,271,205,434,Notebooks Master
"London, England, United Kingdom",34,3,103,379,29,435,Notebooks Master
"Seoul, Seoul, South Korea",16,6,90,654,195,437,Notebooks Grandmaster
"Bordeaux, Nouvelle-Aquitaine, France",1,13,19,5,237,427,Datasets Expert
"Budapest, Hungary",28,62,35,175,304,439,Notebooks Master
"Athens, Greece",NA,3,7,516,68,441,Datasets Expert
"Navi Mumbai, Maharashtra, India",31,9,53,538,321,442,Notebooks Grandmaster
"Seoul, Seoul, South Korea",47,39,809,8,179,443,Datasets Expert
"Seoul, Seoul, South Korea",1,9,18,43,274,433,Datasets Expert
"Hafizabad, Punjab, Pakistan",8,4,12,271,421,446,Datasets Expert
"Bengaluru, Karnataka, India",NA,10,12,105,208,449,Datasets Expert
"Rome, Lazio, Italy",6,5,3,76,188,450,Datasets Expert
"College Park, Maryland, United States",4,21,45,138,411,462,Competitions Expert
"Sofia, Sofia City Province, Bulgaria",2,7,2,123,326,451,Datasets Expert
