Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"İstanbul, İstanbul, Turkey",29,70,25,419,342,991,Notebooks Grandmaster
"São Paulo, State of São Paulo, Brazil",NA,5,5,91,109,947,Datasets Expert
"Coimbatore, Tamil Nadu, India",NA,3,7,40,60,995,Datasets Expert
"Kota, Rajasthan, India",16,3,16,563,591,948,Notebooks Master
"Mangalore, Karnataka, India",3,6,2,9,369,949,Datasets Expert
"Patna, Bihar, India",17,6,15,183,435,950,Notebooks Master
"Kolkata, West Bengal, India",5,4,25,592,558,951,Notebooks Master
"Delhi, Delhi, India",NA,3,10,164,349,952,Datasets Expert
"Melbourne, Victoria, Australia",NA,14,31,188,130,953,Datasets Expert
"Johannesburg, Gauteng, South Africa",NA,4,4,99,90,954,Datasets Expert
"Chennai, Tamil Nadu, India",4,14,54,22,837,955,Datasets Expert
"Temara, Rabat-Salé-Kénitra, Morocco",1,4,1,137,955,956,Datasets Expert
"Islamabad, Islamabad Capital Territory, Pakistan",NA,4,16,498,495,957,Notebooks Master
"Mumbai, Maharashtra, India",2,10,20,33,344,958,Datasets Expert
"Kafr El-Shaikh, Gharbia Governorate, Egypt",NA,3,9,97,565,1002,Datasets Expert
"Ranchi, Jharkhand, India",3,3,1,13,589,959,Datasets Expert
"Taipei, Taiwan",8,19,59,171,180,961,Competitions Expert
"Bengaluru, Karnataka, India",6,3,34,528,436,962,Notebooks Master
"Giza, Giza Governorate, Egypt",NA,13,29,161,343,963,Datasets Expert
,NA,4,9,28,639,965,Datasets Expert
"Tehran, Tehran Province, Iran",NA,5,19,503,510,967,Datasets Expert
"Kolkata, West Bengal, India",42,17,129,683,462,970,Notebooks Master
"Mumbai, Maharashtra, India",24,20,50,217,98,971,Datasets Expert
"Moscow, Russia",20,11,11,80,215,972,Competitions Expert
"Dublin, County Dublin, Ireland",4,4,6,125,302,973,Competitions Expert
"Los Angeles, California, United States",4,18,21,116,37,974,Datasets Expert
"Palaiseau, Île-de-France, France",84,13,23,243,184,975,Competitions Master
"Singapore, Singapore",3,3,3,4,727,976,Datasets Expert
NA,NA,6,NA,NA,178,1011,Datasets Expert
"Chennai, Tamil Nadu, India",1,10,9,18,106,977,Datasets Expert
