Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Mashhad, Razavi Khorasan Province, Iran",NA,3,7,126,436,1200,Datasets Expert
"Hyderabad, Telangana, India",51,16,27,167,633,1201,Competitions Expert
NA,NA,7,1,NA,61,1202,Datasets Expert
"São Paulo, State of São Paulo, Brazil",8,13,27,299,182,1203,Datasets Expert
"São Paulo, State of São Paulo, Brazil",18,3,43,773,522,1204,Notebooks Grandmaster
"Austin, Texas, United States",NA,6,1,6,39,1205,Datasets Expert
"Kaiserslautern, Rhineland-Palatinate, Germany",6,19,11,132,34,1206,Competitions Expert
"Dhaka, Dhaka Division, Bangladesh",2,6,46,114,233,1207,Datasets Expert
"Bandung, West Java, Indonesia",21,11,87,130,424,1208,Competitions Expert
"Karachi, Sindh, Pakistan",3,5,18,392,359,1209,Datasets Expert
"Thane, Maharashtra, India",25,13,24,130,177,1243,Datasets Expert
"Tel Aviv-Yafo, Tel Aviv District, Israel",19,10,10,476,25,1210,Competitions Grandmaster
"Navi Mumbai, Maharashtra, India",1,3,9,72,171,1211,Datasets Expert
NA,12,5,27,139,37,1212,Notebooks Grandmaster
"Haifa, Haifa District, Israel",17,5,16,528,61,1213,Competitions Grandmaster
"Orlando, Florida, United States",28,10,13,139,331,1214,Datasets Expert
"Chicago, Illinois, United States",4,5,7,16,333,1215,Datasets Expert
NA,1,3,7,4,708,1217,Datasets Expert
"Gurugram, Haryana, India",14,16,18,25,420,1218,Datasets Expert
,1,5,3,76,433,1220,Datasets Expert
"Hanoi, Hanoi, Vietnam",6,3,3,3,737,1221,Datasets Expert
"Bengaluru, Karnataka, India",8,3,5,64,549,1222,Datasets Expert
"Chennai, Tamil Nadu, India",9,9,17,314,78,1223,Datasets Expert
"Rajshahi, Rajshahi Division, Bangladesh",5,5,16,100,199,1224,Datasets Expert
"San Francisco, California, United States",2,10,8,155,121,1225,Datasets Expert
"Erode, Tamil Nadu, India",22,4,6,40,410,1226,Datasets Expert
"Kolkata, West Bengal, India",1,6,8,181,789,1227,Datasets Expert
"Hyderabad, Telangana, India",2,25,18,191,224,1228,Datasets Expert
"Çanakkale, Çanakkale, Turkey",3,3,8,40,405,1229,Datasets Expert
"Bhubaneswar, Odisha, India",9,13,25,14,357,1230,Datasets Expert
"Tehran, Tehran Province, Iran",8,4,7,51,358,1231,Datasets Expert
"Busan, Busan, South Korea",2,4,8,226,660,1232,Datasets Expert
"Ankara, Ankara, Turkey",NA,5,5,33,242,1233,Datasets Expert
"Alexandria, Alexandria Governorate, Egypt",NA,4,12,9,1064,1234,Datasets Expert
"Osmaniye, Osmaniye, Turkey",4,3,5,22,471,1235,Datasets Expert
"Amsterdam, North Holland, Netherlands",NA,3,12,86,559,1236,Datasets Expert
"Bharatpur, Rajasthan, India",NA,3,14,231,395,1237,Datasets Expert
"Patna, Bihar, India",1,4,6,124,418,1238,Datasets Expert
"Bengaluru, Karnataka, India",NA,5,NA,9,391,1239,Datasets Expert
"Mumbai, Maharashtra, India",NA,3,5,1,539,1240,Datasets Expert
"Stuttgart, Baden-Württemberg, Germany",2,3,18,186,227,1241,Datasets Expert
"Hanoi, Hanoi, Vietnam",81,5,17,137,25,1242,Competitions Grandmaster
"Nairobi, Nairobi County, Kenya",7,7,30,31,708,1244,Datasets Expert
"New Delhi, Delhi, India",36,25,12,223,175,1245,Competitions Master
"Visakhapatnam, Andhra Pradesh, India",28,10,16,447,71,1246,Notebooks Master
"New Delhi, Delhi, India",NA,10,16,287,125,1247,Datasets Expert
NA,NA,8,25,NA,1062,1248,Datasets Expert
"Moscow, Russia",NA,3,10,496,228,1249,Datasets Expert
"Erbil, Kurdistan Region, Iraq",1,4,11,83,487,1250,Datasets Expert
"Bengaluru, Karnataka, India",5,6,18,66,340,1251,Competitions Expert
"Jaipur, Rajasthan, India",4,3,22,"1,008",106,1252,Notebooks Master
"Detroit, Michigan, United States",18,3,5,59,217,1253,Competitions Expert
"Bengaluru, Karnataka, India",NA,7,7,117,234,1254,Datasets Expert
"Chennai, Tamil Nadu, India",14,4,15,237,53,1219,Notebooks Master
"Navi Mumbai, Maharashtra, India",4,7,22,400,494,1255,Datasets Expert
"San Jose, California, United States",1,6,2,1,434,1256,Datasets Expert
"Moscow, Russia",6,5,8,16,80,1257,Datasets Expert
"Solapur, Maharashtra, India",5,3,8,109,425,1258,Datasets Expert
"Bandung, West Java, Indonesia",21,5,16,29,203,1295,Datasets Expert
"Chennai, Tamil Nadu, India",NA,5,10,50,412,1259,Datasets Expert
"Bengaluru, Karnataka, India",1,5,7,4,362,1260,Datasets Expert
"İzmir, İzmir, Turkey",16,4,56,164,411,1261,Datasets Expert
"Roorkee, Uttarakhand, India",9,6,5,267,302,1262,Datasets Expert
"Ahmedabad, Gujarat, India",3,3,9,101,504,1263,Datasets Expert
"Lucknow, Uttar Pradesh, India",NA,4,6,139,374,1264,Datasets Expert
"Dhaka, Dhaka Division, Bangladesh",NA,3,25,101,387,1265,Datasets Expert
"Lucknow, Uttar Pradesh, India",NA,5,6,294,262,1266,Datasets Expert
"Navi Mumbai, Maharashtra, India",6,10,81,195,185,1267,Datasets Expert
"Faridabad, Haryana, India",2,5,18,234,380,1268,Datasets Expert
"Vemulawada, Telangana, India",12,4,14,89,487,1269,Datasets Expert
"Islamabad, Islamabad Capital Territory, Pakistan",1,7,NA,1,314,1270,Datasets Expert
"Dubai, Dubai, United Arab Emirates",6,18,24,232,43,1271,Competitions Master
"Baltimore, Maryland, United States",7,7,18,131,42,1272,Competitions Expert
,151,31,87,161,279,1273,Competitions Master
"London, England, United Kingdom",14,5,116,580,392,1274,Competitions Expert
Ramallah,6,6,26,60,119,1275,Datasets Expert
"Bengaluru, Karnataka, India",15,4,91,516,775,1276,Notebooks Master
"Kyiv, Ukraine",29,6,2,233,390,1277,Competitions Grandmaster
"Bengaluru, Karnataka, India",1,5,11,9,789,1278,Datasets Expert
"West Lafayette, Indiana, United States",NA,6,NA,1,1260,1279,Datasets Expert
"Antwerp, Flanders, Belgium",9,5,11,105,259,1280,Datasets Expert
"Tokyo, Tokyo, Japan",12,15,16,77,40,1281,Competitions Expert
"Buffalo, New York, United States",6,3,5,44,406,1282,Competitions Expert
"Mumbai, Maharashtra, India",NA,3,5,82,397,1283,Datasets Expert
"Concord, California, United States",6,3,12,129,678,1284,Datasets Expert
"İstanbul, İstanbul, Turkey",1,3,2,35,234,1285,Datasets Expert
"Beijing, Beijing, China",49,93,22,264,485,1286,Competitions Master
