Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Anantapur, Andhra Pradesh, India",12,7,14,26,343,831,Competitions Expert
"Hyderabad, Telangana, India",NA,20,30,8,260,832,Datasets Expert
NA,NA,3,6,14,732,833,Datasets Expert
NA,8,13,40,398,485,834,Competitions Expert
"Pune, Maharashtra, India",1,8,20,145,121,835,Datasets Expert
"Mumbai, Maharashtra, India",1,6,4,8,306,836,Datasets Expert
"Tel Aviv-Yafo, Tel Aviv District, Israel",NA,4,21,191,320,837,Datasets Expert
"Santiago, Santiago Metropolitan Region, Chile",NA,15,34,20,403,839,Datasets Expert
NA,2,3,3,21,668,841,Datasets Expert
"New Delhi, Delhi, India",8,12,56,229,275,842,Datasets Expert
"Heidelberg, Baden-Württemberg, Germany",12,5,20,315,241,843,Datasets Expert
"Dhaka, Dhaka Division, Bangladesh",NA,4,11,12,539,844,Datasets Expert
"Chunian, Punjab, Pakistan",1,3,2,5,NA,778,Datasets Expert
"Tiruppur, Tamil Nadu, India",3,4,8,107,328,845,Datasets Expert
"Vijayawada, Andhra Pradesh, India",6,4,17,84,327,846,Datasets Expert
NA,NA,4,8,3,728,868,Datasets Expert
"Cologne, North Rhine-Westphalia, Germany",25,23,39,254,152,849,Notebooks Grandmaster
"Dubai, Dubai, United Arab Emirates",NA,26,32,44,332,850,Datasets Expert
"Shibuya City, Tokyo, Japan",NA,14,45,38,59,852,Datasets Expert
"Moscow, Russia",2,3,NA,1,402,853,Datasets Expert
"Munich, Bavaria, Germany",3,3,4,67,406,854,Datasets Expert
"Lahore, Punjab, Pakistan",6,8,24,102,411,878,Datasets Expert
"Delhi, Delhi, India",7,3,5,137,81,879,Competitions Expert
"Saint Petersburg, Russia",NA,8,17,8,369,881,Datasets Expert
"Navi Mumbai, Maharashtra, India",3,4,10,16,850,857,Datasets Expert
"Hyderabad, Telangana, India",NA,7,19,32,353,858,Datasets Expert
"Kolkata, West Bengal, India",30,12,5,15,384,885,Competitions Expert
"Tehran, Tehran Province, Iran",1,4,4,31,694,859,Datasets Expert
"Karachi, Sindh, Pakistan",NA,6,11,6,446,860,Datasets Expert
"Thiruvananthapuram, Kerala, India",NA,13,2,8,202,889,Datasets Expert
"Charlotte, North Carolina, United States",1,8,33,24,825,861,Datasets Expert
NA,NA,8,8,29,70,862,Datasets Expert
"Surat, Gujarat, India",NA,3,4,28,387,863,Datasets Expert
"Tehran, Tehran Province, Iran",1,3,2,1,657,864,Datasets Expert
"Meta, Missouri, United States",15,33,55,104,295,865,Datasets Expert
"Daejeon, Daejeon, South Korea",9,5,26,277,494,866,Datasets Expert
"Moscow, Russia",17,5,6,18,649,896,Datasets Expert
"Cairo, Cairo Governorate, Egypt",NA,4,11,49,829,897,Datasets Expert
NA,15,4,10,180,395,867,Datasets Expert
"Kolkata, West Bengal, India",1,3,11,21,389,898,Datasets Expert
"El Jem, Mahdia, Tunisia",2,6,31,214,493,900,Datasets Expert
"Dortmund, North Rhine-Westphalia, Germany",NA,3,2,2,542,869,Datasets Expert
"Kolkata, West Bengal, India",NA,3,16,59,NA,870,Datasets Expert
"Melbourne, Victoria, Australia",23,3,9,101,412,871,Competitions Grandmaster
Taiwan,70,16,15,143,286,872,Competitions Master
Japan,47,99,41,119,418,873,Competitions Grandmaster
"Beirut, Beirut Governorate, Lebanon",5,4,41,"1,180",321,874,Notebooks Master
"Montreal, Quebec, Canada",6,8,17,70,34,820,Datasets Expert
"Istanbul, Istanbul, Turkey",NA,6,8,143,139,875,Datasets Expert
"Colombo, Western Province, Sri Lanka",1,4,1,3,676,876,Datasets Expert
"Madison, Wisconsin, United States",3,9,13,97,531,828,Datasets Expert
"Pune, Maharashtra, India",4,13,12,107,238,877,Datasets Expert
"Taipei, Taiwan",24,6,29,9,760,906,Datasets Expert
"Cairo, Cairo Governorate, Egypt",11,10,20,63,75,880,Datasets Expert
"Mumbai, Maharashtra, India",3,3,9,188,76,911,Datasets Expert
"Moscow, Russia",27,20,14,84,806,882,Datasets Expert
"Bizerte, Bizerte, Tunisia",34,5,27,498,382,883,Notebooks Master
"Natal, State of Rio Grande do Norte, Brazil",2,7,24,94,306,884,Datasets Expert
"Kolkata, West Bengal, India",14,10,38,370,776,886,Competitions Expert
"Noida, Uttar Pradesh, India",17,6,20,723,334,887,Notebooks Master
"Perth, Western Australia, Australia",12,6,71,174,651,888,Datasets Expert
"Mahdia, Mahdia, Tunisia",NA,10,45,139,153,921,Notebooks Master
"Bengaluru, Karnataka, India",1,4,5,210,714,890,Datasets Expert
"New York, New York, United States",4,7,8,186,643,891,Datasets Expert
"İstanbul, İstanbul, Turkey",14,3,15,235,567,892,Notebooks Master
"Córdoba, Cordoba, Argentina",14,3,14,562,454,893,Notebooks Master
NA,NA,3,5,2,724,895,Datasets Expert
"Kolkata, West Bengal, India",43,72,47,7,315,899,Competitions Master
"Anand, Gujarat, India",NA,3,16,92,692,901,Datasets Expert
"Taipei, Taiwan",2,7,18,14,869,902,Datasets Expert
"Dubai, Dubai, United Arab Emirates",33,5,51,138,635,903,Competitions Expert
"Knoxville, Tennessee, United States",31,6,88,343,199,932,Notebooks Master
"Bengaluru, Karnataka, India",9,4,13,210,107,904,Competitions Expert
"Toronto, Ontario, Canada",56,16,52,406,28,905,Notebooks Master
"Moscow, Russia",48,9,23,239,74,907,Competitions Expert
"Coimbatore, Tamil Nadu, India",13,6,13,263,36,908,Notebooks Master
"Thrissur, Kerala, India",2,3,7,48,260,909,Datasets Expert
"New Delhi, Delhi, India",NA,4,11,308,102,910,Datasets Expert
NA,1,11,42,34,555,912,Datasets Expert
"Jamnagar, Gujarat, India",15,8,22,226,602,915,Datasets Expert
"Wilmington, North Carolina, United States",3,14,30,287,432,916,Datasets Expert
"Atlanta, Georgia, United States",20,24,27,264,214,917,Competitions Expert
"Boston, Massachusetts, United States",16,13,63,288,437,945,Datasets Expert
"Rourkela, Odisha, India",20,16,23,176,264,918,Datasets Expert
"Paris, Île-de-France, France",NA,3,10,72,386,919,Notebooks Master
"Dublin, County Dublin, Ireland",10,4,22,192,185,920,Datasets Expert
"Ghaziabad, Uttar Pradesh, India",NA,8,26,40,190,922,Datasets Expert
"Bengaluru, Karnataka, India",10,9,26,437,153,923,Notebooks Master
"Madrid, Community of Madrid, Spain",9,3,18,58,919,964,Competitions Expert
"Auckland, Auckland, New Zealand",2,5,22,88,658,925,Datasets Expert
"Alexandria, Alexandria Governorate, Egypt",1,3,8,363,593,926,Datasets Expert
"Tiruppur, Tamil Nadu, India",2,4,6,150,464,966,Datasets Expert
NA,9,4,26,342,774,927,Notebooks Master
"Pune, Maharashtra, India",1,6,25,197,372,928,Datasets Expert
"Sivasagar, Assam, India",10,4,53,200,802,968,Datasets Expert
"Almería, Andalusia, Spain",NA,3,1,1,685,969,Datasets Expert
"Linz, Upper Austria, Austria",9,5,8,191,237,929,Competitions Expert
"Melbourne, Victoria, Australia",NA,6,7,62,90,930,Datasets Expert
"Mumbai, Maharashtra, India",14,4,51,81,884,931,Datasets Expert
"Accra, Greater Accra Region, Ghana",1,8,15,4,548,933,Datasets Expert
"Bengaluru, Karnataka, India",37,8,17,195,456,934,Datasets Expert
"Chennai, Tamil Nadu, India",13,10,37,337,88,935,Datasets Expert
"Baku, Azerbaijan",1,7,8,1,619,936,Datasets Expert
"Bengaluru, Karnataka, India",1,3,12,171,519,937,Datasets Expert
"Jabalpur, Madhya Pradesh, India",2,44,62,71,413,980,Datasets Expert
"Hyderabad, Telangana, India",6,6,11,244,111,938,Datasets Expert
"İzmit, Kocaeli, Turkey",1,6,27,180,333,939,Datasets Expert
"Hosur, Tamil Nadu, India",NA,3,2,131,583,940,Datasets Expert
"London, England, United Kingdom",25,16,55,"1,137",219,941,Notebooks Grandmaster
"New Delhi, Delhi, India",1,10,27,46,231,913,Datasets Expert
"Hong Kong, Hong Kong",3,5,10,385,561,942,Notebooks Master
"Kolkata, West Bengal, India",NA,9,48,95,437,914,Datasets Expert
"Belfast, Northern Ireland, United Kingdom",2,6,11,137,312,985,Datasets Expert
"Madrid, Community of Madrid, Spain",8,4,25,"1,646",326,943,Notebooks Grandmaster
"Jaipur, Rajasthan, India",3,16,37,31,631,944,Datasets Expert
"Shimla, Himachal Pradesh, India",20,3,10,18,636,988,Datasets Expert
