Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Sapporo, Hokkaido, Japan",10,4,19,425,249,1136,Notebooks Master
"Dhaka, Dhaka Division, Bangladesh",NA,7,14,85,181,1137,Datasets Expert
"Cairo, Cairo Governorate, Egypt",NA,5,14,219,1043,1138,Notebooks Master
"Newark, New Jersey, United States",2,3,5,7,928,1140,Datasets Expert
"Karachi, Sindh, Pakistan",NA,12,5,74,299,1141,Datasets Expert
"Islamabad, Islamabad Capital Territory, Pakistan",NA,4,7,80,242,1142,Datasets Expert
NA,NA,3,2,103,444,1143,Datasets Expert
"Solapur, Maharashtra, India",1,3,5,83,543,1144,Datasets Expert
NA,8,16,19,128,442,1169,Notebooks Master
NA,NA,4,NA,3,548,1106,Datasets Expert
"Santiago de Querétaro, Querétaro, Mexico",3,4,9,3,739,1145,Datasets Expert
"New Cairo City, Cairo Governorate, Egypt",NA,4,12,7,595,1146,Datasets Expert
"London, England, United Kingdom",NA,3,NA,NA,859,1147,Datasets Expert
"Goiânia, State of Goiás, Brazil",9,5,21,20,286,1148,Datasets Expert
"Boston, Massachusetts, United States",1,3,5,17,547,1149,Datasets Expert
"Dhaka, Dhaka Division, Bangladesh",12,12,29,80,138,1150,Datasets Expert
"Madison, Wisconsin, United States",NA,5,16,87,134,1152,Datasets Expert
"Mumbai, Maharashtra, India",2,4,55,160,186,1153,Datasets Expert
"Gurugram, Haryana, India",2,5,37,849,327,1154,Notebooks Master
"Cascais, Lisbon, Portugal",20,3,41,860,967,1155,Notebooks Grandmaster
"Jaipur, Rajasthan, India",36,4,8,279,107,1156,Datasets Expert
"Delhi, Delhi, India",2,6,2,95,270,1184,Datasets Expert
"Minato City, Tokyo, Japan",8,4,5,106,239,1157,Datasets Expert
"Boston, Massachusetts, United States",1,3,5,19,523,1158,Datasets Expert
"Pune, Maharashtra, India",3,6,20,116,293,1187,Datasets Expert
NA,2,3,1,51,405,1159,Datasets Expert
"Mangalore, Karnataka, India",3,4,8,102,259,1160,Datasets Expert
"Noisy-le-Grand, Île-de-France, France",12,5,21,102,287,1161,Datasets Expert
"Guwahati, Assam, India",1,5,11,174,179,1162,Datasets Expert
"Coimbatore, Tamil Nadu, India",5,5,8,108,196,1163,Datasets Expert
"Greater Noida, Uttar Pradesh, India",NA,3,7,404,381,1164,Datasets Expert
"Hyderabad, Telangana, India",14,5,29,33,376,1165,Datasets Expert
"Greater Noida, Uttar Pradesh, India",8,3,22,178,211,1166,Notebooks Master
"Mumbai, Maharashtra, India",4,4,11,391,201,1167,Notebooks Master
"Samarkand, Samarqand Region, Uzbekistan",2,11,3,51,378,1168,Datasets Expert
NA,1,3,14,5,497,1170,Datasets Expert
"Toronto, Ontario, Canada",NA,12,42,43,147,1171,Datasets Expert
"Karachi, Sindh, Pakistan",NA,12,5,34,348,1172,Datasets Expert
"Budapest, Hungary",27,4,47,608,404,1173,Notebooks Grandmaster
"Gelderland, Netherlands",45,9,16,477,579,1174,Competitions Expert
"Amherst, Massachusetts, United States",38,4,70,391,389,1175,Notebooks Grandmaster
"Kathmandu, Central Development Region, Nepal",7,37,105,112,127,1176,Datasets Expert
"İstanbul, Istanbul, Turkey",NA,4,18,40,124,1177,Datasets Expert
"Lucknow, Uttar Pradesh, India",3,5,8,126,96,1178,Datasets Expert
"Hanoi, Hanoi, Vietnam",78,13,18,646,381,1179,Competitions Master
"Sahibzada Ajit Singh Nagar, Punjab, India",NA,5,24,236,85,1180,Notebooks Master
"Pune, Maharashtra, India",1,11,21,27,290,1182,Datasets Expert
"Bengaluru, Karnataka, India",10,7,16,43,198,1216,Competitions Expert
"Khulna, Khulna Division, Bangladesh",NA,3,1,95,488,1183,Datasets Expert
"Bikaner, Rajasthan, India",6,14,26,151,256,1185,Datasets Expert
"Stockholm, Stockholm County, Sweden",4,5,17,94,322,1186,Datasets Expert
"Nawabshah, Sindh, Pakistan",3,3,11,546,248,1188,Notebooks Master
"Pune, Maharashtra, India",37,20,34,385,235,1189,Notebooks Master
"Jabalpur, Madhya Pradesh, India",4,11,11,95,196,1190,Datasets Expert
"Karnal, Haryana, India",NA,7,28,156,135,1191,Datasets Expert
"Mogalturu, Andhra Pradesh, India",2,3,7,181,177,1192,Datasets Expert
NA,2,8,33,10,1036,1193,Datasets Expert
"Kyiv, Ukraine",2,3,5,133,352,1194,Datasets Expert
"Bengaluru, Karnataka, India",NA,4,10,146,672,1195,Datasets Expert
"Adelaide, South Australia, Australia",NA,9,29,459,445,1196,Datasets Expert
"Jaipur, Rajasthan, India",NA,3,7,31,368,1197,Datasets Expert
"Guwahati, Assam, India",2,4,NA,2,397,1198,Datasets Expert
"Dhaka, Dhaka Division, Bangladesh",6,5,6,252,483,1199,Datasets Expert
