Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Khulna, Khulna Division, Bangladesh",1,7,27,200,121,1287,Datasets Expert
"Vancouver, Washington, United States",11,14,11,664,58,1288,Datasets Expert
"Pune, Maharashtra, India",1,11,5,75,159,1289,Datasets Expert
"São Paulo, State of São Paulo, Brazil",7,14,31,180,751,1290,Datasets Expert
NA,3,5,1,107,462,1291,Datasets Expert
"Tunis, Tunis, Tunisia",1,4,8,350,123,1292,Datasets Expert
"Rome, Lazio, Italy",3,5,7,105,73,1293,Datasets Expert
"Bokaro Steel City, Jharkhand, India",1,3,19,73,135,1294,Datasets Expert
"Greater Noida, Uttar Pradesh, India",1,4,65,357,192,1296,Datasets Expert
"Riga, Latvia",NA,3,1,79,280,1297,Datasets Expert
"New Delhi, Delhi, India",1,3,10,4,237,1298,Datasets Expert
"Pune, Maharashtra, India",NA,4,3,13,472,1299,Datasets Expert
"İstanbul, İstanbul, Turkey",NA,3,6,133,205,1300,Datasets Expert
"Jersey City, New Jersey, United States",NA,3,18,260,296,1301,Datasets Expert
"Delhi, Delhi, India",NA,3,NA,77,332,1302,Datasets Expert
"Novi Sad, Vojvodina, Serbia",6,4,23,115,495,1303,Notebooks Master
"Boston, Massachusetts, United States",2,3,8,30,504,1304,Datasets Expert
NA,17,5,8,39,25,1305,Competitions Expert
"London, England, United Kingdom",2,4,2,12,187,1306,Datasets Expert
"Chicago, Illinois, United States",5,3,6,4,561,1307,Datasets Expert
"Irvine, California, United States",NA,5,2,30,758,1308,Datasets Expert
"Delhi, Delhi, India",11,11,21,403,119,1309,Notebooks Master
"Enerhodar, Zaporizhia Oblast, Ukraine",51,6,22,151,498,1310,Notebooks Master
"New Delhi, Delhi, India",NA,3,6,36,141,1311,Datasets Expert
NA,7,4,17,235,483,1312,Datasets Expert
"Hanoi, Hanoi, Vietnam",3,7,10,91,414,1313,Notebooks Master
"Ho Chi Minh City, Ho Chi Minh City, Vietnam",20,5,11,144,485,1314,Notebooks Master
"Colombo, Western Province, Sri Lanka",NA,4,14,165,148,1315,Datasets Expert
"Saarbrücken, Saarland, Germany",19,4,22,916,1054,1316,Competitions Expert
"Pratapgarh, Uttar Pradesh, India",7,8,19,93,294,1317,Datasets Expert
"Mumbai, Maharashtra, India",1,4,2,1,1079,1318,Datasets Expert
"New Delhi, Delhi, India",4,3,10,157,277,1319,Datasets Expert
"Bengaluru, Karnataka, India",NA,3,3,91,194,1320,Datasets Expert
NA,2,5,6,107,194,1321,Datasets Expert
"Mombasa, Mombasa County, Kenya",2,4,11,130,125,1322,Datasets Expert
"Gurugram, Haryana, India",1,4,8,21,106,1323,Datasets Expert
"Chennai, Tamil Nadu, India",5,3,20,141,614,1324,Datasets Expert
"Bengaluru, Karnataka, India",NA,3,5,169,297,1325,Datasets Expert
"Noida, Uttar Pradesh, India",NA,3,4,110,474,1326,Datasets Expert
"West Lafayette, Indiana, United States",9,10,22,17,137,1327,Datasets Expert
"Greater Noida, Uttar Pradesh, India",NA,3,36,61,445,1328,Datasets Expert
"İstanbul, İstanbul, Turkey",NA,4,5,2,526,1329,Datasets Expert
"İzmir, İzmir, Turkey",NA,3,2,113,269,1330,Datasets Expert
"Pune, Maharashtra, India",NA,3,2,111,322,1331,Datasets Expert
"Hyderabad, Telangana, India",3,4,6,102,370,1332,Datasets Expert
"San Diego, California, United States",6,3,NA,3,455,1333,Datasets Expert
NA,2,3,29,138,599,1334,Datasets Expert
"Casablanca, Casablanca-Settat, Morocco",25,3,13,619,122,1335,Notebooks Master
"Greater Noida, Uttar Pradesh, India",5,9,19,127,201,1336,Datasets Expert
"Mumbai, Maharashtra, India",7,4,14,131,962,1337,Notebooks Master
"São Paulo, State of São Paulo, Brazil",1,3,7,42,415,1338,Datasets Expert
"Dhanbad, Jharkhand, India",9,3,7,7,336,1339,Datasets Expert
NA,18,3,16,113,578,1340,Notebooks Master
"Barcelona, Catalonia, Spain",1,5,20,157,185,1341,Datasets Expert
"Chennai, Tamil Nadu, India",NA,5,11,214,251,1342,Datasets Expert
"Paris, Île-de-France, France",NA,8,11,203,72,1181,Datasets Expert
"New Delhi, Delhi, India",3,3,5,335,296,1343,Datasets Expert
"Dramaga, West Java, Indonesia",19,6,20,167,128,1344,Datasets Expert
"Madrid, Community of Madrid, Spain",3,4,4,8,553,1345,Datasets Expert
"Coimbatore, Tamil Nadu, India",NA,4,7,181,1086,1346,Datasets Expert
"Pune, Maharashtra, India",NA,4,2,24,396,1347,Datasets Expert
"Tunis, Tunis, Tunisia",8,4,9,93,73,1348,Competitions Expert
"Gurugram, Haryana, India",4,4,8,124,251,1368,Datasets Expert
"Toronto, Ontario, Canada",7,8,43,353,111,1349,Datasets Expert
"Jaipur, Rajasthan, India",NA,3,19,101,309,1350,Datasets Expert
"Mathura, Uttar Pradesh, India",NA,3,5,92,148,1351,Datasets Expert
"Beijing, Beijing, China",7,3,NA,1,489,1352,Datasets Expert
"Rangpur, Rangpur Division, Bangladesh",NA,7,16,102,225,1353,Datasets Expert
"Jaipur, Rajasthan, India",NA,3,10,43,459,1354,Datasets Expert
"Bronxville, New York, United States",2,3,3,5,367,1355,Datasets Expert
"Bloomington, Indiana, United States",1,3,20,266,443,1356,Datasets Expert
NA,4,3,NA,4,485,1357,Datasets Expert
NA,3,3,NA,6,483,1358,Datasets Expert
"Mumbai, Maharashtra, India",53,4,6,103,202,1359,Competitions Expert
"Austin, Texas, United States",8,4,1,6,1183,1360,Datasets Expert
"Toronto, Ontario, Canada",2,3,49,221,607,1361,Notebooks Master
"Bengaluru, Karnataka, India",42,3,10,305,157,1362,Competitions Expert
"Bengaluru, Karnataka, India",17,7,10,181,190,1363,Competitions Expert
"Patiala, Punjab, India",3,4,7,7,331,1364,Datasets Expert
"Warangal, Telangana, India",20,12,15,79,103,1365,Datasets Expert
"Incheon, Incheon, South Korea",5,6,59,87,431,1366,Datasets Expert
"Pune, Maharashtra, India",1,3,11,344,968,1367,Datasets Expert
"Bengaluru, Karnataka, India",6,4,42,254,206,1369,Datasets Expert
"Ho Chi Minh City, Ho Chi Minh City, Vietnam",1,6,9,48,125,1370,Datasets Expert
"Gurugram, Haryana, India",NA,3,10,135,190,1371,Datasets Expert
"Rajshahi, Rajshahi Division, Bangladesh",1,3,5,70,165,1372,Datasets Expert
"Sandhikharka, Western Development Region, Nepal",1,6,14,201,118,1373,Datasets Expert
"Kathmandu, Central Development Region, Nepal",NA,3,6,48,215,1374,Datasets Expert
"Turin, Piedmont, Italy",1,4,7,338,96,1375,Datasets Expert
"Delhi, Delhi, India",34,6,5,24,598,1376,Competitions Expert
"Surat, Gujarat, India",1,3,6,114,277,1377,Datasets Expert
"Nellore, Andhra Pradesh, India",1,3,19,132,311,1378,Datasets Expert
"Mysuru, Karnataka, India",2,3,5,81,185,1379,Datasets Expert
"Bengaluru, Karnataka, India",6,3,1,13,331,1396,Datasets Expert
NA,NA,5,3,NA,82,1380,Datasets Expert
"Paris, Île-de-France, France",5,5,7,5,345,1381,Datasets Expert
"Hanoi, Hanoi, Vietnam",2,18,17,39,1232,1382,Datasets Expert
"Hyderabad, Telangana, India",5,10,15,19,205,1383,Datasets Expert
"Bengaluru, Karnataka, India",20,3,25,87,408,1384,Datasets Expert
"Istanbul, Istanbul, Turkey",NA,3,1,8,71,1385,Datasets Expert
"Karachi, Sindh, Pakistan",13,5,9,27,137,1386,Datasets Expert
"New Delhi, Delhi, India",1,3,5,80,314,1387,Datasets Expert
"İstanbul, İstanbul, Turkey",3,6,11,280,154,1388,Datasets Expert
"Tampa, Florida, United States",NA,5,16,79,172,1389,Datasets Expert
"São Bernardo do Campo, State of São Paulo, Brazil",1,3,5,138,99,1390,Datasets Expert
"Mansoura, Dakahlia Governorate, Egypt",5,4,17,163,185,1391,Datasets Expert
NA,1,3,6,36,122,1392,Datasets Expert
"Da Nang, Da Nang, Vietnam",NA,3,NA,5,173,1393,Datasets Expert
"Shanghai, West Virginia, United States",NA,3,1,8,159,1394,Datasets Expert
"Bengaluru, Karnataka, India",13,9,19,84,273,1395,Datasets Expert
NA,NA,8,NA,NA,719,1397,Datasets Expert
