Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
Rishi Damarla,70,expert,https://www.kaggle.com/rishidamarla,0,1,66,211,2 years ago
Shruti Pandit,71,expert,https://www.kaggle.com/shrutipandit707,0,3,12,209,9 months ago
Vivo Vinco,72,expert,https://www.kaggle.com/vivovinco,0,3,23,201,3 years ago
Heads or Tails,73,master,https://www.kaggle.com/headsortails,4,3,3,198,6 years ago
Omer Colakoglu,74,master,https://www.kaggle.com/omercolakoglu,4,2,3,198,5 years ago
Petro,75,expert,https://www.kaggle.com/piterfm,1,1,6,191,6 years ago
Sandeep Bansode,76,expert,https://www.kaggle.com/bansodesandeep,0,4,7,189,5 months ago
Iron486,77,expert,https://www.kaggle.com/die9origephit,0,3,12,186,2 years ago
Ali Farajnia,78,expert,https://www.kaggle.com/alifarajnia,0,5,9,186,a year ago
Dhruvil Dave,79,master,https://www.kaggle.com/dhruvildave,2,9,7,183,3 years ago
Mahnaz Arjmand,80,expert,https://www.kaggle.com/mahnazarjmand,0,6,1,177,5 months ago
Samuel Cortinhas,81,expert,https://www.kaggle.com/samuelcortinhas,0,2,16,176,a year ago
hemil26,82,master,https://www.kaggle.com/hemil26,2,4,0,174,a year ago
HASIB AL MUZDADID,83,expert,https://www.kaggle.com/hasibalmuzdadid,2,1,1,173,a year ago
Mian Faisal,84,expert,https://www.kaggle.com/faisaljanjua0555,0,3,9,173,2 months ago
Mrinal Tyagi,85,expert,https://www.kaggle.com/tr1gg3rtrash,0,5,3,172,3 years ago
Darien Schettler,86,expert,https://www.kaggle.com/dschettler8845,0,1,16,171,5 years ago
Shubham Trivedi,87,master,https://www.kaggle.com/shubhamptrivedi,1,4,0,171,a year ago
Moore,88,master,https://www.kaggle.com/imoore,4,5,2,170,2 years ago
Murat KOKLU,89,expert,https://www.kaggle.com/muratkokludataset,2,2,5,167,8 months ago
Andre Sionek,90,expert,https://www.kaggle.com/andresionek,1,1,1,163,5 years ago
Bill Cruise,91,expert,https://www.kaggle.com/bcruise,0,1,23,161,9 years ago
Afroz,92,expert,https://www.kaggle.com/pythonafroz,0,5,5,161,a year ago
Rounak Banik,93,expert,https://www.kaggle.com/rounakbanik,3,0,0,160,6 years ago
torch,94,master,https://www.kaggle.com/rhtsingh,1,6,6,160,5 years ago
Mustanger,95,expert,https://www.kaggle.com/eisgandar,0,3,8,158,6 months ago
Quadeer Shaikh,96,expert,https://www.kaggle.com/quadeer15sh,0,6,2,156,4 years ago
DeepNets,97,expert,https://www.kaggle.com/utkarshsaxenadn,0,0,15,156,3 months ago
mysar ahmad bhat,98,expert,https://www.kaggle.com/mysarahmadbhat,0,2,25,154,2 years ago
PromptCloud,99,master,https://www.kaggle.com/promptcloud,1,5,27,153,6 years ago
Brenda N,100,master,https://www.kaggle.com/brendan45774,2,5,8,152,4 years ago
Evan Gower,101,expert,https://www.kaggle.com/evangower,0,0,13,151,8 months ago
Michal Bogacz,102,expert,https://www.kaggle.com/michau96,1,2,15,149,4 years ago
John Harshith,103,master,https://www.kaggle.com/johnharshith,1,4,2,149,a year ago
Md Waquar Azam,104,expert,https://www.kaggle.com/mdwaquarazam,0,1,15,147,2 years ago
KUCEV ROMAN,105,expert,https://www.kaggle.com/tapakah68,0,1,21,144,6 years ago
Nicholas Broad,106,expert,https://www.kaggle.com/nbroad,1,1,9,142,3 years ago
Y.Nakama,107,expert,https://www.kaggle.com/yasufuminakama,2,2,5,141,5 years ago
Georgy Zubkov,108,expert,https://www.kaggle.com/georgyzubkov,0,5,1,141,3 years ago
Ankan Hore,109,expert,https://www.kaggle.com/ankanhore545,0,2,15,140,5 years ago
