Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
NA,2,NA,NA,123,NA,NA,Discussion Expert
"Vienna, Vienna, Austria",9,NA,1,138,NA,NA,Competitions Expert
"Santa Clara, California, United States",2,NA,3,149,NA,NA,Discussion Expert
"Gurugram, Haryana, India",16,1,21,500,27,NA,Notebooks Master
"Charlottesville, Virginia, United States",20,1,11,137,NA,NA,Competitions Expert
"El Djazair, Algiers Province, Algeria",13,2,24,131,152,NA,Notebooks Master
"Mysuru, Karnataka, India",5,NA,21,217,397,NA,Notebooks Expert
"Leuven, Flanders, Belgium",NA,1,7,374,94,NA,Notebooks Expert
"Karlskrona, Blekinge County, Sweden",NA,NA,13,117,619,NA,Notebooks Expert
"Kolkata, West Bengal, India",NA,NA,2,115,NA,NA,Discussion Expert
"İstanbul, İstanbul, Turkey",13,8,34,90,152,NA,Notebooks Master
"Gurugram, Haryana, India",5,NA,2,219,NA,NA,Discussion Expert
"Cairo, Cairo Governorate, Egypt",1,1,9,218,762,NA,Notebooks Expert
"Delhi, Delhi, India",1,9,9,177,308,NA,Datasets Expert
"Mangalore, Karnataka, India",3,4,8,102,431,NA,Datasets Expert
"Guwahati, Assam, India",NA,NA,NA,104,NA,NA,Discussion Expert
"Gorakhpur, Uttar Pradesh, India",3,6,31,202,611,NA,Datasets Expert
"Ranchi, Jharkhand, India",1,NA,6,144,1054,NA,Notebooks Expert
"Mumbai, Maharashtra, India",1,2,1,81,NA,NA,Discussion Expert
"Hyderabad, Telangana, India",NA,4,13,154,416,NA,Notebooks Expert
"Larache, Tangier-Tétouan-Al Hoceima, Morocco",NA,1,7,110,2215,NA,Notebooks Expert
"Jaipur, Rajasthan, India",NA,1,8,117,571,NA,Notebooks Expert
"Osaka, Osaka, Japan",11,1,2,135,NA,NA,Discussion Expert
NA,NA,NA,10,244,NA,NA,Discussion Expert
"Noida, Uttar Pradesh, India",2,4,14,127,599,NA,Notebooks Expert
"Nagpur, Maharashtra, India",NA,6,11,92,NA,NA,Datasets Expert
"Cairo, Cairo Governorate, Egypt",2,NA,2,74,NA,NA,Discussion Expert
"Hyderabad, Telangana, India",NA,NA,5,82,NA,NA,Discussion Expert
"Seoul, Seoul, South Korea",NA,1,19,97,1349,NA,Notebooks Expert
"Delhi, Delhi, India",NA,3,NA,77,NA,NA,Datasets Expert
"Las Palmas de Gran Canaria, Canary Islands, Spain",NA,NA,4,72,NA,NA,Discussion Expert
"Pune, Maharashtra, India",NA,3,2,111,NA,NA,Datasets Expert
"Chandigarh, Punjab, India",1,1,5,189,824,NA,Notebooks Expert
"San Francisco, California, United States",241,9,26,311,NA,NA,Competitions Grandmaster
"Bellevue, Washington, United States",65,NA,117,201,NA,NA,Competitions Grandmaster
"Rio de Janeiro, State of Rio de Janeiro, Brazil",34,3,76,153,13,NA,Notebooks Master
"Oulu, Finland",20,6,45,221,506,NA,Notebooks Expert
"Gurugram, Haryana, India",2,3,10,97,1222,NA,Notebooks Expert
"Mumbai, Maharashtra, India",NA,3,5,82,1237,NA,Datasets Expert
"Karachi, Sindh, Pakistan",1,7,14,133,974,NA,Notebooks Expert
"Kanpur, Uttar Pradesh, India",6,NA,4,128,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",2,NA,NA,123,NA,NA,Discussion Expert
"Texas City, Texas, United States",4,7,20,148,796,NA,Notebooks Expert
"Brest, Brittany, France",10,NA,16,185,844,NA,Notebooks Expert
"Cairo, Cairo Governorate, Egypt",NA,2,6,144,NA,NA,Discussion Expert
"London, England, United Kingdom",5,4,11,97,333,NA,Notebooks Expert
"Dhaka, Dhaka Division, Bangladesh",23,3,29,194,385,NA,Notebooks Expert
"Istanbul, Istanbul, Turkey",7,NA,4,189,NA,NA,Discussion Expert
"Orlando, Florida, United States",28,10,13,139,1284,NA,Datasets Expert
"İskenderun, Hatay, Turkey",NA,NA,8,116,1095,NA,Notebooks Expert
"Yokohama, Kanagawa, Japan",NA,NA,25,91,1054,NA,Notebooks Expert
"Delhi, Delhi, India",7,3,5,137,630,NA,Competitions Expert
"Mumbai, Maharashtra, India",3,3,9,188,290,NA,Datasets Expert
"Khulna, Khulna Division, Bangladesh",1,7,27,200,497,NA,Datasets Expert
"Delhi, Delhi, India",7,3,6,113,842,NA,Notebooks Expert
"Delhi, Delhi, India",2,6,2,95,NA,NA,Datasets Expert
"Minato City, Tokyo, Japan",8,4,5,106,2146,NA,Datasets Expert
"Hyderabad, Telangana, India",1,NA,4,167,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",NA,7,7,117,628,NA,Datasets Expert
"Tokyo, Tokyo, Japan",4,NA,4,115,NA,NA,Discussion Expert
"Pune, Maharashtra, India",2,2,10,134,925,NA,Notebooks Expert
"Bokaro Steel City, Jharkhand, India",1,3,19,73,326,NA,Datasets Expert
NA,29,13,54,204,92,NA,Notebooks Master
"Tunis, Tunis, Tunisia",6,NA,5,173,NA,NA,Competitions Expert
"Sandhikharka, Western Development Region, Nepal",1,6,14,201,275,NA,Datasets Expert
"Rochester, New York, United States",10,2,5,101,NA,NA,Discussion Expert
"Gurugram, Haryana, India",NA,3,5,166,1052,NA,Notebooks Expert
"Mysuru, Karnataka, India",2,3,5,81,643,NA,Datasets Expert
"Rosemère, Quebec, Canada",NA,1,10,150,452,NA,Notebooks Expert
"Rangpur, Rangpur Division, Bangladesh",NA,7,16,102,710,NA,Datasets Expert
"London, England, United Kingdom",5,NA,4,101,NA,NA,Discussion Expert
"Lima, Callao Region, Peru",3,NA,1,59,NA,NA,Discussion Expert
"Houston, Texas, United States",NA,2,4,76,NA,NA,Discussion Expert
"Ankara, Ankara, Turkey",NA,NA,5,114,NA,NA,Discussion Expert
"New Delhi, Delhi, India",1,NA,NA,52,NA,NA,Discussion Expert
"Atlanta, Georgia, United States",NA,NA,6,158,NA,NA,Discussion Expert
NA,2,2,8,89,NA,NA,Discussion Expert
NA,5,NA,1,168,NA,NA,Competitions Expert
"Kansas City, Missouri, United States",4,NA,13,82,1353,NA,Notebooks Expert
"Bengaluru, Karnataka, India",44,NA,6,203,NA,NA,Competitions Expert
"São Paulo, State of São Paulo, Brazil",10,3,38,491,158,NA,Notebooks Expert
"Delhi, Delhi, India",8,7,39,230,100,NA,Datasets Expert
"Sydney, New South Wales, Australia",NA,17,25,136,NA,NA,Datasets Master
"Hyderabad, Telangana, India",NA,2,16,214,553,NA,Notebooks Expert
"Rio de Janeiro, State of Rio de Janeiro, Brazil",3,6,30,135,991,NA,Datasets Expert
"Thane, Maharashtra, India",25,13,24,130,880,NA,Datasets Expert
"Enerhodar, Zaporizhia Oblast, Ukraine",51,6,22,151,119,NA,Notebooks Master
"Thiruvananthapuram, Kerala, India",3,6,29,143,475,NA,Notebooks Expert
"Worlds End, County Cork, Ireland",16,3,4,224,NA,NA,Competitions Master
"Lucknow, Uttar Pradesh, India",3,5,8,126,230,NA,Datasets Expert
"Hyderabad, Telangana, India",9,3,12,161,754,NA,Competitions Expert
"Canberra, Australian Capital Territory, Australia",9,19,14,272,NA,NA,Discussion Expert
"İstanbul, İstanbul, Turkey",3,6,11,280,299,NA,Datasets Expert
"Tunis, Tunis, Tunisia",9,NA,NA,96,NA,NA,Competitions Expert
NA,9,3,1,242,NA,NA,Competitions Expert
"Bengaluru, Karnataka, India",NA,NA,7,140,323,NA,Notebooks Expert
"Pune, Maharashtra, India",3,14,22,143,817,NA,Notebooks Expert
"Pune, Maharashtra, India",2,4,13,214,NA,NA,Discussion Expert
"Atlanta, Georgia, United States",31,NA,NA,156,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",NA,NA,1,107,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",NA,NA,3,183,NA,NA,Discussion Expert
"Cairo, Cairo Governorate, Egypt",2,3,18,153,838,NA,Notebooks Expert
"Hyderabad, Telangana, India",NA,4,4,96,NA,NA,Discussion Expert
"Mymensingh, Dhaka Division, Bangladesh",NA,1,6,191,706,NA,Notebooks Expert
"Bengaluru, Karnataka, India",1,7,15,135,692,NA,Notebooks Expert
"Fremont, California, United States",2,NA,NA,117,NA,NA,Discussion Expert
