Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Patna, Bihar, India",NA,NA,6,518,519,NA,Notebooks Expert
"Jaipur, Rajasthan, India",1,NA,11,125,838,NA,Notebooks Expert
"New Delhi, Delhi, India",NA,6,9,206,712,NA,Notebooks Expert
"Tunis, Tunis, Tunisia",4,10,13,359,NA,NA,Competitions Expert
"Mumbai, Maharashtra, India",1,7,15,255,471,NA,Datasets Expert
"Hazaribagh, Jharkhand, India",9,1,23,157,352,NA,Notebooks Expert
"Vladivostok, Primorsky Krai, Russia",NA,1,3,238,NA,NA,Discussion Expert
"Mumbai, Maharashtra, India",NA,NA,12,310,364,NA,Notebooks Expert
"Pune, Maharashtra, India",NA,NA,2,114,NA,NA,Discussion Expert
NA,1,NA,4,102,NA,NA,Discussion Expert
"Bishkek, Kyrgyzstan",9,2,14,156,462,NA,Notebooks Expert
"Badulla, Uva Province, Sri Lanka",NA,NA,7,112,1387,NA,Notebooks Expert
NA,67,13,10,236,119,NA,Competitions Master
"Shenzhen, Guangdong Province, China",49,6,1,103,NA,NA,Competitions Grandmaster
"Goiânia, State of Goiás, Brazil",26,1,5,112,NA,NA,Competitions Expert
"Moscow, Russia",12,NA,6,99,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",2,18,9,184,985,NA,Datasets Expert
"Delhi, Delhi, India",10,NA,12,261,824,NA,Competitions Expert
"Pune, Maharashtra, India",1,3,11,343,797,NA,Datasets Expert
"Tunis, Tunis, Tunisia",NA,35,106,561,116,NA,Notebooks Master
"Pune, Maharashtra, India",NA,5,15,512,300,NA,Notebooks Expert
"Wilmington, North Carolina, United States",3,14,30,287,438,NA,Datasets Expert
"Busan, Busan, South Korea",2,4,8,226,1233,NA,Datasets Expert
"Yamagata, Yamagata, Japan",62,NA,9,262,1675,NA,Competitions Expert
"Sadiqabad, Punjab, Pakistan",2,7,39,297,368,NA,Datasets Expert
"London, England, United Kingdom",1,NA,8,132,916,NA,Notebooks Expert
"Dhaka, Dhaka Division, Bangladesh",6,5,6,252,NA,NA,Datasets Expert
"Edmonton, Alberta, Canada",NA,3,3,109,NA,NA,Discussion Expert
"Linköping, Östergötland County, Sweden",2,1,6,167,807,NA,Notebooks Expert
"Tiruppur, Tamil Nadu, India",2,4,6,150,1476,NA,Datasets Expert
"Bad Rappenau, Baden-Württemberg, Germany",18,NA,18,115,778,NA,Notebooks Expert
"Dubai, Dubai, United Arab Emirates",43,1,2,526,NA,NA,Competitions Expert
"Irvine, California, United States",15,9,13,290,NA,NA,Competitions Master
"Saharanpur, Uttar Pradesh, India",2,6,65,217,435,NA,Datasets Expert
"Ankara, Ankara, Turkey",1,NA,9,346,637,NA,Notebooks Expert
NA,2,NA,1,100,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",NA,6,21,297,469,NA,Datasets Expert
NA,2,NA,NA,125,NA,NA,Discussion Expert
"Shimla, Himachal Pradesh, India",21,11,1,155,NA,NA,Competitions Master
"Innsbruck, Tyrol, Austria",7,17,10,119,640,NA,Competitions Expert
"Jena, Thuringia, Germany",4,1,4,128,NA,NA,Competitions Expert
"Cairo, Cairo Governorate, Egypt",NA,2,4,151,NA,NA,Discussion Expert
"Perlez, Vojvodina, Serbia",1,1,2,122,NA,NA,Discussion Expert
NA,16,NA,11,160,927,NA,Notebooks Expert
NA,14,NA,3,163,NA,NA,Discussion Expert
"Anand, Gujarat, India",NA,3,16,91,1217,NA,Datasets Expert
"Brisbane, Queensland, Australia",19,7,28,320,NA,6,Competitions Grandmaster
"Bengaluru, Karnataka, India",11,7,31,137,699,NA,Datasets Expert
"Munich, Bavaria, Germany",89,2,194,205,88,NA,Notebooks Master
"Tokyo, Tokyo, Japan",25,37,6,87,610,NA,Competitions Master
"Manchester, England, United Kingdom",21,4,3,225,NA,NA,Competitions Master
"Beijing, Beijing, China",15,22,1,124,NA,NA,Competitions Grandmaster
"Hammamet, Nabeul, Tunisia",7,8,30,93,553,NA,Notebooks Expert
"Seoul, Seoul, South Korea",8,4,21,111,747,NA,Notebooks Expert
"Tiruppur, Tamil Nadu, India",NA,7,8,116,1650,NA,Datasets Expert
"Hong Kong, Hong Kong",6,1,2,169,NA,NA,Competitions Master
"Patna, Bihar, India",2,NA,4,241,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",NA,NA,2,87,NA,NA,Discussion Expert
"Ahmedabad, Gujarat, India",6,NA,10,158,220,NA,Notebooks Master
"Nashik, Maharashtra, India",3,3,10,92,NA,781,Notebooks Expert
"Maroua, Far North, Cameroon",2,5,11,97,876,NA,Datasets Expert
United States,53,1,NA,311,NA,NA,Competitions Grandmaster
"San Francisco, California, United States",19,3,41,705,23,NA,Discussion Master
"Bengaluru, Karnataka, India",44,3,29,160,51,NA,Competitions Master
NA,9,8,8,119,1147,NA,Notebooks Expert
"Tel Aviv-Yafo, Tel Aviv District, Israel",18,18,3,177,NA,NA,Competitions Master
"Mountain View, California, United States",1,NA,2,77,NA,NA,Discussion Expert
"Boston, Massachusetts, United States",12,5,240,"1,132",4,NA,Notebooks Master
"Tokyo, Tokyo, Japan",42,3,25,127,NA,NA,Competitions Master
NA,8,3,9,671,NA,NA,Competitions Expert
"Dhaka, Dhaka Division, Bangladesh",18,2,2,116,NA,NA,Discussion Expert
"Cairo, Cairo Governorate, Egypt",6,NA,6,148,NA,760,Notebooks Expert
"Delhi, Delhi, India",10,4,16,228,491,NA,Notebooks Expert
"Nanakaramguda, Telangana, India",2,NA,38,230,NA,NA,Discussion Expert
"Gurugram, Haryana, India",4,1,11,124,765,NA,Notebooks Expert
"Pune, Maharashtra, India",1,4,11,93,1003,NA,Datasets Expert
"Varanasi, Uttar Pradesh, India",2,1,8,231,876,NA,Notebooks Expert
"Al Muqattam City, Cairo Governorate, Egypt",NA,3,10,343,304,NA,Notebooks Expert
"Mumbai, Maharashtra, India",NA,1,16,198,345,NA,Notebooks Master
NA,17,3,7,234,NA,NA,Competitions Expert
"Kraków, Lesser Poland Voivodeship, Poland",NA,1,6,456,453,NA,Notebooks Expert
