Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Beijing, Beijing, China",62,47,15,112,98,NA,Competitions Master
"Boulder, Colorado, United States",8,1,6,117,2299,NA,Notebooks Expert
"Reading, England, United Kingdom",13,6,15,313,89,NA,Competitions Master
"Warsaw, Masovian Voivodeship, Poland",39,NA,6,85,NA,NA,Competitions Master
"Hanoi, Hanoi, Vietnam",15,2,19,141,NA,NA,Competitions Master
"Moscow, Idaho, United States",4,NA,5,196,NA,NA,Discussion Expert
"Haifa, Haifa District, Israel",42,7,4,154,NA,NA,Competitions Master
"Charlotte, North Carolina, United States",NA,3,17,487,121,NA,Notebooks Master
"Jabalpur, Madhya Pradesh, India",14,3,11,134,1205,NA,Competitions Expert
NA,4,6,17,113,564,NA,Datasets Expert
"Santa Clara, California, United States",3,15,11,291,2183,NA,Datasets Expert
"Lexington, Kentucky, United States",12,22,55,139,572,NA,Competitions Expert
NA,3,NA,5,237,465,NA,Notebooks Expert
"Moscow, Russia",NA,1,NA,103,NA,NA,Discussion Expert
"London, England, United Kingdom",1,5,24,209,1104,NA,Datasets Expert
"Amman, Amman Governorate, Jordan",12,6,20,205,377,NA,Datasets Expert
"Rotterdam, South Holland, Netherlands",16,1,36,701,204,NA,Notebooks Master
"Gothenburg, Västra Götaland County, Sweden",2,6,10,145,1165,NA,Notebooks Expert
"Theni, Tamil Nadu, India",26,5,45,150,499,NA,Datasets Expert
"Chennai, Tamil Nadu, India",4,2,11,109,2183,NA,Notebooks Expert
"Bengaluru, Karnataka, India",NA,NA,2,110,NA,NA,Discussion Expert
"Hong Kong, Hong Kong",12,NA,12,225,767,NA,Notebooks Expert
"Shiraz, Fars Province, Iran",NA,21,36,142,NA,262,Datasets Expert
"Malmö, Skåne County, Sweden",17,3,19,222,1177,NA,Competitions Expert
"Los Angeles, California, United States",21,10,35,156,334,NA,Competitions Expert
"Nagoya, Aichi, Japan",37,1,4,95,NA,NA,Competitions Master
"Toronto, Ontario, Canada",56,16,52,406,35,NA,Notebooks Master
"Bengaluru, Karnataka, India",3,NA,13,144,975,NA,Notebooks Expert
"Saint Petersburg, Russia",29,16,42,271,264,NA,Competitions Expert
"Padua, Veneto, Italy",9,NA,5,157,NA,NA,Competitions Expert
"Vienna, Vienna, Austria",43,5,12,98,2313,NA,Competitions Grandmaster
"Ahmedabad, Gujarat, India",19,74,61,394,78,NA,Datasets Expert
"Karlsruhe, Baden-Württemberg, Germany",9,NA,9,121,98,NA,Notebooks Expert
"Bengaluru, Karnataka, India",8,1,5,170,226,NA,Competitions Expert
"Bhubaneswar, Odisha, India",6,6,10,119,926,NA,Datasets Expert
"Cairo, Cairo Governorate, Egypt",NA,5,14,219,489,NA,Notebooks Master
"Houston, Texas, United States",3,1,15,387,181,NA,Notebooks Master
"Nashville, Tennessee, United States",2,NA,3,124,NA,NA,Discussion Expert
NA,NA,6,11,241,357,NA,Notebooks Master
"Seattle, Washington, United States",49,3,19,106,156,NA,Competitions Grandmaster
"San Jose, California, United States",4,3,6,252,2691,NA,Datasets Expert
"Franca, State of São Paulo, Brazil",15,46,37,337,33,NA,Notebooks Master
"Toulouse, Occitanie, France",28,10,25,469,26,NA,Notebooks Master
"Chicago, Illinois, United States",2,5,15,103,267,NA,Datasets Expert
"London, England, United Kingdom",5,8,45,812,305,NA,Competitions Expert
"Navi Mumbai, Maharashtra, India",4,7,22,399,982,NA,Datasets Expert
"Seoul, Seoul, South Korea",8,NA,15,149,NA,NA,Discussion Expert
"Liverpool, England, United Kingdom",4,8,22,84,1200,NA,Datasets Expert
"Lucknow, Uttar Pradesh, India",2,1,7,406,177,NA,Notebooks Expert
"New Delhi, Delhi, India",8,11,32,433,162,NA,Notebooks Master
"Taipei, Taiwan",8,19,59,171,142,NA,Competitions Expert
"Kabul, Kabul, Afghanistan",1,NA,7,138,1089,NA,Notebooks Expert
"Dublin, County Dublin, Ireland",5,1,19,193,760,NA,Notebooks Expert
"Austin, Texas, United States",30,3,3,270,NA,NA,Competitions Master
"Linz, Upper Austria, Austria",9,5,8,191,25,NA,Competitions Expert
"Seattle, Washington, United States",NA,107,272,"2,191",10,NA,Datasets Grandmaster
"Nanjing, Jiangsu, China",18,NA,4,777,NA,NA,Competitions Expert
"Salt Lake City, Utah, United States",21,1,21,528,48,NA,Competitions Master
"London, England, United Kingdom",28,2,9,226,505,NA,Competitions Master
"Hangzhou, Zhejiang, China",17,145,5,106,NA,NA,Competitions Master
"Cambridge, Massachusetts, United States",16,2,18,264,2663,NA,Competitions Master
"Hong Kong, Hong Kong",4,NA,NA,79,NA,NA,Competitions Expert
"Oakland, California, United States",NA,NA,1,62,NA,NA,Discussion Expert
"Tehran, Tehran Province, Iran",15,4,24,173,174,NA,Notebooks Master
"Mul, Maharashtra, India",14,1,10,148,263,NA,Notebooks Expert
"Zagazig, Ash Sharqia Governorate, Egypt",1,NA,9,200,896,NA,Notebooks Expert
"Rostock, Mecklenburg-Vorpommern, Germany",15,4,NA,108,NA,NA,Datasets Expert
"Surat, Gujarat, India",1,6,16,614,175,NA,Notebooks Master
"Ahmedabad, Gujarat, India",3,11,30,131,479,NA,Datasets Expert
"Alicante, Valencian Community, Spain",1,1,12,176,690,NA,Notebooks Expert
"Mumbai, Maharashtra, India",2,6,3,112,NA,NA,Discussion Expert
"Singapore, Singapore",86,1,12,156,NA,NA,Competitions Master
"Wrocław, Lower Silesian Voivodeship, Poland",14,1,8,129,597,NA,Competitions Expert
"Nantes, Pays de la Loire, France",10,15,30,207,221,NA,Notebooks Master
"Patiala, Punjab, India",NA,10,9,162,NA,NA,Datasets Expert
"Oslo, Oslo, Norway",4,4,16,294,197,NA,Notebooks Expert
"Moscow, Russia",24,4,7,290,621,NA,Notebooks Expert
"Eindhoven, North Brabant, Netherlands",36,8,25,821,71,NA,Notebooks Master
"Yokohama, Kanagawa, Japan",55,4,11,216,NA,NA,Competitions Master
"Dhaka, Dhaka Division, Bangladesh",2,7,5,255,1560,NA,Datasets Expert
"Ahmedabad, Gujarat, India",NA,3,15,209,551,NA,Datasets Expert
"Kansas City, Missouri, United States",41,12,4,100,NA,NA,Competitions Expert
"Hawally, Hawalli Governorate, Kuwait",17,25,87,315,30,NA,Notebooks Grandmaster
"Zagazig, Ash Sharqia Governorate, Egypt",NA,NA,7,113,1496,NA,Notebooks Expert
"Anantapur, Andhra Pradesh, India",NA,3,10,170,651,NA,Notebooks Expert
"Manila, Metro Manila, Philippines",NA,8,17,199,409,NA,Datasets Expert
"Hangzhou, Zhejiang, China",18,NA,14,347,126,NA,Competitions Master
"Bikaner, Rajasthan, India",4,8,10,595,979,NA,Notebooks Expert
"Bengaluru, Karnataka, India",72,18,11,725,716,NA,Competitions Expert
"Patiala, Punjab, India",6,2,6,211,NA,NA,Discussion Expert
"Heidelberg, Baden-Württemberg, Germany",12,5,20,315,787,NA,Datasets Expert
"New Delhi, Delhi, India",NA,2,17,233,NA,336,Notebooks Expert
"Dhaka, Dhaka Division, Bangladesh",7,1,11,129,932,NA,Notebooks Expert
"Philadelphia, Pennsylvania, United States",16,14,13,195,1436,NA,Datasets Expert
,NA,5,6,131,NA,NA,Datasets Expert
"Paris, Île-de-France, France",26,2,14,108,911,NA,Notebooks Expert
"São Paulo, State of São Paulo, Brazil",19,101,20,185,102,NA,Datasets Grandmaster
"Utrecht, Utrecht, Netherlands",7,2,21,390,312,NA,Notebooks Expert
"Bengaluru, Karnataka, India",1,1,2,165,NA,NA,Discussion Expert
"Ho Chi Minh City, Ho Chi Minh City, Vietnam",14,9,2,151,NA,NA,Competitions Expert
"Bengaluru, Karnataka, India",10,5,12,364,1026,NA,Datasets Expert
"Ahmedabad, Gujarat, India",25,13,55,158,1186,NA,Notebooks Expert
"Chicago, Illinois, United States",6,21,62,491,375,NA,Datasets Expert
"New Delhi, Delhi, India",NA,11,2,206,NA,NA,Discussion Expert
NA,NA,3,8,160,742,NA,Datasets Expert
NA,1,NA,5,135,NA,NA,Discussion Expert
NA,19,NA,2,860,NA,NA,Competitions Master
NA,11,1,3,117,NA,NA,Competitions Master
"Jülich, North Rhine-Westphalia, Germany",7,NA,NA,173,NA,NA,Competitions Master
"Suwon-si, Gyeonggi-do, South Korea",8,1,8,165,771,NA,Notebooks Expert
"Hyderabad, Telangana, India",2,1,10,106,NA,NA,Discussion Expert
"Delhi, Delhi, India",NA,3,10,163,1574,NA,Datasets Expert
"Windsor, Ontario, Canada",NA,1,10,164,944,NA,Notebooks Expert
"Seoul, Seoul, South Korea",2,NA,9,230,549,NA,Notebooks Expert
NA,35,13,25,225,628,NA,Competitions Expert
"Singarayakonda, Andhra Pradesh, India",NA,5,1,202,NA,NA,Discussion Expert
"Rourkela, Odisha, India",5,5,18,160,432,NA,Datasets Expert
"Mumbai, Maharashtra, India",3,2,6,94,944,NA,Notebooks Expert
NA,6,1,4,99,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",122,31,15,391,308,NA,Competitions Expert
"Moscow, Russia",39,7,18,103,282,NA,Competitions Master
"Cheongju-si, Chungcheongbuk-do, South Korea",32,126,62,125,323,NA,Competitions Expert
"Chengdu, Sichuan, China",19,NA,NA,195,NA,NA,Competitions Master
NA,NA,10,19,147,1006,NA,Datasets Expert
"Ottawa, Ontario, Canada",6,1,15,127,1275,NA,Notebooks Expert
"Islamabad, Islamabad Capital Territory, Pakistan",23,204,29,185,364,NA,Notebooks Expert
"Aydın, Aydın, Turkey",25,6,17,248,118,NA,Notebooks Master
"Tokyo, Tokyo, Japan",4,1,14,171,1583,NA,Notebooks Expert
"Detroit, Michigan, United States",4,4,2,167,NA,NA,Discussion Expert
NA,1,1,2,95,351,NA,Notebooks Expert
NA,21,5,17,89,747,NA,Notebooks Expert
,2,NA,19,120,563,NA,Notebooks Expert
"Los Angeles, California, United States",110,15,30,166,129,NA,Competitions Master
"London, England, United Kingdom",1,NA,3,106,NA,NA,Discussion Expert
"İstanbul, Istanbul, Turkey",NA,NA,31,155,538,NA,Notebooks Expert
NA,NA,NA,5,121,NA,NA,Discussion Expert
"Lublin, Lublin Voivodeship, Poland",13,9,19,118,133,NA,Competitions Master
"Tunis, Tunis, Tunisia",6,4,64,120,552,NA,Notebooks Expert
"Sapporo, Hokkaido, Japan",10,4,19,425,95,NA,Notebooks Master
NA,NA,NA,1,100,NA,NA,Discussion Expert
"Sfax, Sfax, Tunisia",5,6,53,373,320,NA,Notebooks Expert
"Rajkot, Gujarat, India",6,35,14,122,756,NA,Datasets Expert
"Rewari, Haryana, India",1,NA,8,123,898,NA,Notebooks Expert
"Ankara, Ankara, Turkey",1,2,15,241,246,NA,Notebooks Master
