Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
Anurag Upadhyay,1992,expert,https://www.kaggle.com/anuragupadhyay6212,1,0,79,25,3 years ago
Kelvin Chow,1993,expert,https://www.kaggle.com/kelvinchow1979,0,1,65,25,3 years ago
Ihor Muliar,1994,expert,https://www.kaggle.com/ihormuliar,0,2,67,25,3 years ago
Piotr Stanczyk,1995,expert,https://www.kaggle.com/piotrstanczyk,1,1,51,25,2 years ago
synked,1996,expert,https://www.kaggle.com/synked,1,4,68,25,2 years ago
YASH DIXIT_24,1997,expert,https://www.kaggle.com/yashdixit24,0,0,67,25,2 years ago
CodeBreaker619,1998,expert,https://www.kaggle.com/codebreaker619,0,1,80,25,2 years ago
Rishav Sharma,1999,expert,https://www.kaggle.com/rsrishav,0,1,105,25,2 years ago
BrenData,2000,expert,https://www.kaggle.com/brendanartley,0,1,55,25,2 years ago
Sudhanshu Singh,2001,expert,https://www.kaggle.com/billiemage,0,1,59,25,2 years ago
Arhit Bose Tagore,2002,expert,https://www.kaggle.com/arhitbosetagore,0,0,53,25,2 years ago
Chaitanya,2003,expert,https://www.kaggle.com/chaitanya99,0,0,77,25,2 years ago
Krishna Bhatt,2004,expert,https://www.kaggle.com/krishnabhatt4,0,0,54,25,a year ago
Roja,2005,expert,https://www.kaggle.com/rojaachary,0,0,57,25,a year ago
Chandan Verma,2006,expert,https://www.kaggle.com/chandanverma,2,7,43,24,9 years ago
Khurram Siddiqui,2007,expert,https://www.kaggle.com/oraware,0,1,97,24,8 years ago
mezoganet,2008,expert,https://www.kaggle.com/pfichou,4,5,229,24,7 years ago
David Mezzetti,2009,expert,https://www.kaggle.com/davidmezzetti,0,7,69,24,7 years ago
Caleb,2010,expert,https://www.kaggle.com/calebeverett,1,2,61,24,6 years ago
Tushar,2011,expert,https://www.kaggle.com/thanatoz,2,7,74,24,5 years ago
Victor Basu,2012,expert,https://www.kaggle.com/basu369victor,0,6,60,24,5 years ago
Patrick Uzuwe,2013,expert,https://www.kaggle.com/puzuwe,0,1,90,24,5 years ago
palak sood,2014,expert,https://www.kaggle.com/palaksood97,2,1,65,24,4 years ago
Mohammed Sabry,2015,expert,https://www.kaggle.com/mhmdsab,0,1,59,24,4 years ago
Satyaki Ghosh,2016,expert,https://www.kaggle.com/conandoyle,0,0,58,24,4 years ago
Kangbo Lu,2017,expert,https://www.kaggle.com/agilesifaka,1,1,133,24,4 years ago
Xingyu Bian,2018,expert,https://www.kaggle.com/therealcyberlord,0,2,77,24,4 years ago
Ashik M,2019,expert,https://www.kaggle.com/ashikm96,1,1,72,24,4 years ago
Venturillo JE,2020,expert,https://www.kaggle.com/seraphwedd18,0,2,50,24,4 years ago
Chayan Kathuria,2021,expert,https://www.kaggle.com/chayan8,0,1,89,24,4 years ago
nilim,2022,expert,https://www.kaggle.com/snanilim,0,1,124,24,4 years ago
dasmehdixtr,2023,expert,https://www.kaggle.com/dasmehdixtr,0,0,147,24,3 years ago
Tien Hoang,2024,expert,https://www.kaggle.com/minhtien1405,0,0,58,24,3 years ago
Adhithia,2025,expert,https://www.kaggle.com/adhithia,0,0,56,24,3 years ago
Alaa Triki,2026,expert,https://www.kaggle.com/trikialaaa,1,1,65,24,3 years ago
houcem benmansour,2027,expert,https://www.kaggle.com/houcembenmansour,0,0,55,24,3 years ago
Taha07,2028,expert,https://www.kaggle.com/taha07,0,2,89,24,3 years ago
Julia Says,2029,expert,https://www.kaggle.com/juliasays,2,2,52,24,3 years ago
Sayantan Sadhu,2030,expert,https://www.kaggle.com/sayantansadhu,1,0,57,24,3 years ago
Cemal Cem Tastan,2031,expert,https://www.kaggle.com/cemalcemtastan,1,4,52,24,2 years ago
Upamanyu Mukherjee,2032,expert,https://www.kaggle.com/upamanyumukherjee,0,0,53,24,2 years ago
FunkyMonk,2033,expert,https://www.kaggle.com/creepycrap,0,0,70,24,2 years ago
SnowyOwl,2034,expert,https://www.kaggle.com/kyleberdy,1,1,49,24,2 years ago
pouya askari,2035,expert,https://www.kaggle.com/pouyaaskari,0,0,78,24,2 years ago
Max Reis,2036,expert,https://www.kaggle.com/maxreis,0,1,50,24,2 years ago
Syuta,2037,expert,https://www.kaggle.com/nakamurasyuta,0,0,53,24,2 years ago
Eric Freeman,2038,expert,https://www.kaggle.com/ericfreeman,2,3,59,23,9 years ago
Nick Sarris,2039,expert,https://www.kaggle.com/misfyre,3,4,50,23,7 years ago
Deepak Rai,2040,expert,https://www.kaggle.com/ichigoku,0,1,87,23,7 years ago
Adams,2041,expert,https://www.kaggle.com/adamsfei,6,9,107,23,6 years ago
LPLenka,2042,expert,https://www.kaggle.com/lplenka,1,1,50,23,6 years ago
chmaxx,2043,expert,https://www.kaggle.com/chmaxx,4,1,55,23,6 years ago
Naruhiko Nakanishi,2044,expert,https://www.kaggle.com/grapestone5321,3,7,74,23,5 years ago
