Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Bengaluru, Karnataka, India",17,3,40,127,210,NA,Notebooks Expert
"Helsinki, Finland",17,NA,3,259,NA,NA,Competitions Master
"Paris, Île-de-France, France",21,3,11,153,NA,NA,Competitions Expert
"Changsha, Hunan, China",79,1,10,154,216,NA,Competitions Grandmaster
"Bellevue, Washington, United States",28,NA,10,375,27,NA,Competitions Master
"Taipei, Taiwan",8,1,3,244,NA,NA,Competitions Expert
"London, England, United Kingdom",18,NA,16,229,281,NA,Competitions Expert
"São Paulo, State of São Paulo, Brazil",19,10,12,193,1059,NA,Competitions Expert
"Bengaluru, Karnataka, India",22,NA,32,171,NA,NA,Competitions Expert
"New Brunswick, New Jersey, United States",8,NA,23,327,262,NA,Competitions Expert
"Unknown Village, Arusha Region, Tanzania",35,1,4,517,NA,NA,Competitions Expert
"Berlin, Berlin, Germany",39,1,30,431,9,NA,Notebooks Master
"Homs, Homs Governorate, Syria",1,NA,NA,137,NA,NA,Discussion Expert
"Kochi, Kerala, India",8,2,7,219,NA,NA,Discussion Expert
"St Andrews, Scotland, United Kingdom",2,1,3,142,NA,NA,Discussion Expert
"Bandung, West Java, Indonesia",21,11,87,130,269,NA,Competitions Expert
"Chennai, Tamil Nadu, India",10,NA,17,157,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",8,21,108,387,NA,NA,Discussion Expert
"Ankara, Ankara, Turkey",NA,1,20,404,120,NA,Notebooks Expert
"Rajshahi, Rajshahi Division, Bangladesh",19,1,2,99,NA,NA,Competitions Expert
"São Paulo, State of São Paulo, Brazil",2,NA,1,99,NA,NA,Discussion Expert
"Cairo, Cairo Governorate, Egypt",NA,NA,3,103,NA,NA,Discussion Expert
"São Paulo, State of São Paulo, Brazil",7,14,31,180,105,NA,Datasets Expert
"Bengaluru, Karnataka, India",1,NA,NA,90,NA,NA,Discussion Expert
"Delhi, Delhi, India",NA,NA,7,159,1109,NA,Notebooks Expert
"Rome, Lazio, Italy",3,5,7,105,NA,NA,Datasets Expert
"Tarlac City, Central Luzon, Philippines",NA,3,18,105,711,NA,Notebooks Expert
"Seville, Andalusia, Spain",1,NA,10,86,2630,NA,Notebooks Expert
"Bengaluru, Karnataka, India",NA,3,3,91,NA,NA,Datasets Expert
"Kolkata, West Bengal, India",NA,1,8,88,458,NA,Notebooks Expert
"Chennai, Tamil Nadu, India",NA,1,6,106,374,NA,Notebooks Expert
"New Orleans, Louisiana, United States",17,NA,7,115,421,NA,Competitions Master
"Orsay, Île-de-France, France",NA,NA,NA,238,NA,NA,Discussion Expert
"New York, New York, United States",1,44,230,675,12,NA,Notebooks Grandmaster
"Tallinn, Harju County, Estonia",99,NA,3,173,NA,NA,Competitions Expert
"Pune, Maharashtra, India",12,NA,28,177,291,NA,Notebooks Expert
"Kaiserslautern, Rhineland-Palatinate, Germany",6,19,11,132,141,NA,Competitions Expert
"Taipei, Taiwan",6,NA,7,121,55,NA,Competitions Master
"Bengaluru, Karnataka, India",NA,2,3,213,NA,NA,Discussion Expert
"Kanpur, Uttar Pradesh, India",2,NA,6,114,NA,NA,Discussion Expert
"Eindhoven, North Brabant, Netherlands",2,NA,9,288,311,NA,Notebooks Expert
"Forks, Washington, United States",2,NA,NA,164,NA,NA,Discussion Expert
"Sanford, North Carolina, United States",NA,6,5,128,NA,NA,Discussion Expert
"Philadelphia, Pennsylvania, United States",3,NA,3,102,NA,NA,Discussion Expert
"Delhi, Delhi, India",4,3,14,160,1407,NA,Notebooks Expert
"Noida, Uttar Pradesh, India",1,5,8,135,NA,NA,Discussion Expert
"Syracuse, New York, United States",NA,NA,NA,74,NA,NA,Discussion Expert
"İstanbul, Istanbul, Turkey",3,NA,2,141,NA,NA,Discussion Expert
"İstanbul, Istanbul, Turkey",NA,1,22,92,349,NA,Notebooks Expert
"Vinnytsia, Vinnytsia Oblast, Ukraine",23,4,21,117,882,NA,Notebooks Expert
NA,1,1,NA,118,NA,NA,Discussion Expert
"Branford, Connecticut, United States",9,NA,NA,58,NA,NA,Discussion Expert
NA,67,NA,NA,145,NA,NA,Competitions Grandmaster
NA,15,NA,1,83,NA,NA,Competitions Expert
NA,21,1,8,136,333,NA,Competitions Expert
"New York, New York, United States",156,1,53,203,61,NA,Competitions Expert
"Moscow, Russia",22,NA,6,118,NA,NA,Competitions Expert
"Amsterdam, North Holland, Netherlands",3,NA,18,158,NA,NA,Discussion Expert
Canada,22,NA,10,221,NA,NA,Competitions Expert
NA,37,NA,1,106,NA,NA,Competitions Expert
"Melbourne, Victoria, Australia",5,3,18,86,62,NA,Notebooks Expert
"Los Angeles, California, United States",15,3,30,194,116,NA,Notebooks Expert
NA,44,4,54,115,42,NA,Competitions Expert
"Moscow, Russia",17,3,3,121,NA,NA,Competitions Expert
"New Jersey, United States",37,NA,1,150,NA,NA,Competitions Master
"São Paulo, State of São Paulo, Brazil",5,NA,1,221,NA,NA,Discussion Expert
"Amsterdam, North Holland, Netherlands",15,NA,9,120,160,NA,Competitions Expert
"Bengaluru, Karnataka, India",57,1,20,463,6,NA,Notebooks Master
"New York, New York, United States",7,1,20,132,110,NA,Competitions Expert
"New York, New York, United States",9,NA,NA,168,NA,NA,Competitions Master
"Utrecht, Utrecht, Netherlands",17,NA,NA,216,NA,NA,Competitions Expert
"Sattur, Tamil Nadu, India",10,1,19,164,180,NA,Notebooks Expert
"Hangzhou, Zhejiang, China",24,1,NA,191,NA,NA,Competitions Expert
NA,7,12,62,228,NA,NA,Discussion Expert
"Ann Arbor, Michigan, United States",9,8,4,176,NA,NA,Discussion Expert
