Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
,1,4,6,148,NA,NA,Datasets Expert
"Casablanca, Casablanca-Settat, Morocco",25,3,13,619,199,NA,Notebooks Master
"Shanghai, Shanghai, China",7,20,14,117,372,NA,Notebooks Expert
"London, England, United Kingdom",25,2,31,429,1054,NA,Competitions Expert
"Prague, Prague, Czechia",NA,NA,5,195,1402,NA,Notebooks Expert
"Bengaluru, Karnataka, India",9,11,14,202,340,NA,Notebooks Master
"Jaipur, Rajasthan, India",7,24,26,242,458,NA,Competitions Expert
"Singapore, Singapore",55,NA,2,395,NA,NA,Competitions Expert
"Amsterdam, North Holland, Netherlands",3,2,17,970,26,NA,Notebooks Grandmaster
"Zürich, Zurich, Switzerland",37,8,33,206,1112,NA,Competitions Expert
NA,3,10,19,448,188,NA,Notebooks Master
"Vienna, Vienna, Austria",1,5,33,306,674,NA,Datasets Expert
"Dallas, Texas, United States",9,18,20,250,326,NA,Datasets Master
NA,NA,32,10,450,1606,NA,Notebooks Expert
"6th of October City, Giza Governorate, Egypt",1,NA,10,415,191,NA,Notebooks Master
"Mumbai, Maharashtra, India",1,4,13,300,667,NA,Datasets Expert
"Nagpur, Maharashtra, India",5,NA,15,219,281,NA,Notebooks Master
"Paris, Île-de-France, France",1,4,7,191,623,NA,Datasets Expert
"Toronto, Ontario, Canada",17,16,32,124,347,NA,Competitions Expert
"Kyiv, Ukraine",22,1,4,336,NA,NA,Competitions Master
"Saint-Charles-Borromée, Quebec, Canada",19,1,NA,101,NA,NA,Competitions Master
"Even Yehuda, Center District, Israel",9,1,NA,475,NA,NA,Discussion Master
"İstanbul, İstanbul, Turkey",14,3,15,236,424,NA,Notebooks Master
NA,7,21,30,158,879,NA,Datasets Expert
"Johannesburg, Gauteng, South Africa",13,6,72,137,NA,360,Notebooks Expert
"North Dumdum, West Bengal, India",20,25,14,112,391,NA,Notebooks Expert
NA,46,1,11,369,471,NA,Competitions Expert
"Durgapur, West Bengal, India",13,4,35,249,311,NA,Notebooks Expert
"Vadodara, Gujarat, India",14,7,21,372,1575,NA,Datasets Expert
NA,NA,7,15,274,396,NA,Datasets Expert
"Erode, Tamil Nadu, India",2,3,3,169,NA,NA,Discussion Expert
"Pune, Maharashtra, India",NA,NA,7,241,572,NA,Notebooks Expert
"Moscow, Russia",5,2,7,296,586,NA,Notebooks Expert
"Boston, Massachusetts, United States",51,1,7,896,2306,NA,Competitions Grandmaster
"Putrajaya, Putrajaya, Malaysia",2,8,5,285,NA,NA,Datasets Expert
"Hyderabad, Telangana, India",121,403,"2,458",448,44,NA,Datasets Expert
"Hanoi, Hanoi, Vietnam",23,21,27,130,834,NA,Competitions Master
Christmas Island,72,NA,2,462,NA,NA,Competitions Expert
"Nawabshah, Sindh, Pakistan",3,3,11,546,152,NA,Notebooks Master
"Kolkata, West Bengal, India",5,4,25,592,260,NA,Notebooks Master
"Sivasagar, Assam, India",10,4,53,198,768,NA,Datasets Expert
NA,21,9,16,184,508,NA,Competitions Expert
"Prague, Prague, Czechia",4,NA,43,200,NA,430,Notebooks Expert
"Tel Aviv-Yafo, Tel Aviv District, Israel",7,3,13,266,1122,NA,Notebooks Expert
"Redmond, Washington, United States",4,NA,NA,157,NA,NA,Competitions Master
"London, England, United Kingdom",NA,4,22,210,709,NA,Datasets Expert
"Seoul, Seoul, South Korea",1,2,8,135,475,NA,Notebooks Expert
"Bengaluru, Karnataka, India",1,3,12,171,1392,NA,Datasets Expert
"Delhi, Delhi, India",15,13,89,829,74,NA,Notebooks Master
"Manila, Metro Manila, Philippines",1,11,16,121,278,NA,Notebooks Master
"Hafizabad, Punjab, Pakistan",8,4,12,278,344,NA,Datasets Expert
"Gurugram, Haryana, India",NA,1,12,277,238,NA,Notebooks Master
"London, England, United Kingdom",9,1,6,276,NA,NA,Competitions Expert
"Mumbai, Maharashtra, India",2,1,3,349,NA,NA,Discussion Expert
"São Paulo, State of São Paulo, Brazil",8,3,25,149,663,NA,Notebooks Expert
"Tbilisi, Tbilisi, Georgia",23,9,10,461,20,NA,Competitions Grandmaster
"Yokohama, Kanagawa, Japan",50,3,16,543,154,NA,Competitions Grandmaster
"Geneva, Geneva, Switzerland",25,2,7,334,NA,NA,Competitions Master
"Gharo, Sindh, Pakistan",34,8,26,162,490,NA,Competitions Master
NA,NA,3,11,477,247,NA,Notebooks Expert
"Lucknow, Uttar Pradesh, India",6,2,12,337,257,NA,Notebooks Master
"Greater Noida, Uttar Pradesh, India",NA,5,11,427,262,NA,Datasets Master
"Chennai, Tamil Nadu, India",2,1,34,673,121,NA,Notebooks Master
,2,13,11,286,NA,NA,Discussion Expert
"Bhagalpur, Bihar, India",13,7,68,179,364,NA,Datasets Expert
"Dresden, Saxony, Germany",4,6,11,149,657,NA,Datasets Expert
,29,22,6,410,NA,NA,Competitions Master
"New Delhi, Delhi, India",3,NA,3,169,NA,NA,Discussion Expert
NA,2,2,2,107,NA,NA,Discussion Expert
"Saitama, Saitama, Japan",41,76,6,100,837,NA,Competitions Master
"Tampa, Florida, United States",10,3,24,135,109,NA,Notebooks Master
"Gurugram, Haryana, India",4,10,4,206,NA,NA,Datasets Expert
"Seattle, Washington, United States",2,NA,NA,136,NA,NA,Discussion Expert
"Rawalpindi, Punjab, Pakistan",1,5,8,93,NA,NA,Datasets Expert
NA,11,42,12,189,287,NA,Datasets Expert
"Tabriz, East Azerbaijan Province, Iran",NA,4,15,171,1046,NA,Datasets Expert
"Reading, England, United Kingdom",5,1,9,109,382,NA,Notebooks Expert
"Casablanca, Casablanca-Settat, Morocco",26,2,1,66,NA,NA,Competitions Expert
"Buffalo, New York, United States",1,1,15,146,985,NA,Notebooks Expert
"Paris, Île-de-France, France",8,6,4,334,NA,NA,Discussion Expert
"Setif, Sétif Province, Algeria",44,4,45,572,45,NA,Notebooks Master
"Vancouver, British Columbia, Canada",NA,NA,8,204,1340,NA,Notebooks Expert
