Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Chennai, Tamil Nadu, India",37,14,27,169,328,NA,Competitions Expert
"Arcadia, California, United States",3,1,NA,237,NA,NA,Discussion Expert
NA,3,5,1,107,NA,NA,Datasets Expert
"Tunis, Tunis, Tunisia",1,4,8,350,100,NA,Datasets Expert
"Kolkata, West Bengal, India",2,NA,13,197,497,NA,Notebooks Expert
"İstanbul, İstanbul, Turkey",3,26,11,306,188,NA,Datasets Expert
"Boston, Massachusetts, United States",NA,NA,NA,79,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",NA,3,5,169,932,NA,Datasets Expert
"Jaipur, Rajasthan, India",4,3,12,228,876,NA,Notebooks Expert
"Navi Mumbai, Maharashtra, India",6,10,81,195,295,NA,Datasets Expert
"Hyderabad, Telangana, India",10,NA,8,109,NA,NA,Discussion Expert
"Thiruvananthapuram, Kerala, India",1,4,9,74,601,NA,Datasets Expert
"Chandigarh, Punjab, India",6,1,4,90,NA,NA,Discussion Expert
"Lagos, Lagos, Nigeria",NA,3,15,115,NA,NA,Discussion Expert
"Abuja, Federal Capital Territory, Nigeria",NA,1,9,83,1326,NA,Notebooks Expert
"Kyiv, Ukraine",13,1,4,141,NA,NA,Competitions Expert
"Beijing, Beijing, China",18,2,6,135,152,NA,Competitions Grandmaster
"Yongin-si, Gyeonggi-do, South Korea",17,4,11,163,239,NA,Competitions Master
"Bengaluru, Karnataka, India",1,NA,7,108,NA,NA,Discussion Expert
"Faridabad, Haryana, India",NA,NA,6,217,696,NA,Notebooks Expert
"Tunis, Tunis, Tunisia",10,4,10,69,628,NA,Notebooks Expert
"Fes, Fez-Meknès, Morocco",32,5,28,350,896,NA,Competitions Expert
"Chennai, Tamil Nadu, India",5,2,15,117,678,NA,Notebooks Expert
"Gurugram, Haryana, India",2,5,19,294,427,NA,Notebooks Expert
"Bengaluru, Karnataka, India",6,4,42,254,263,NA,Datasets Expert
"Bengaluru, Karnataka, India",7,2,2,119,NA,NA,Discussion Expert
"Gdańsk, Pomeranian Voivodeship, Poland",4,NA,6,125,NA,NA,Discussion Expert
"Kolkata, West Bengal, India",1,2,8,205,168,NA,Notebooks Expert
,1,5,3,76,NA,NA,Datasets Expert
"Hanoi, Hanoi, Vietnam",4,1,1,136,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",NA,4,29,210,571,NA,Datasets Expert
"Bengaluru, Karnataka, India",2,1,7,209,397,NA,Notebooks Expert
"Mumbai, Maharashtra, India",NA,1,1,148,NA,NA,Discussion Expert
"Aurangabad, Maharashtra, India",1,2,18,153,764,NA,Notebooks Expert
"Gurugram, Haryana, India",NA,NA,NA,152,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",1,3,20,126,1003,NA,Notebooks Expert
"Moscow, Russia",4,NA,10,83,759,NA,Notebooks Expert
"Bursa, Bursa, Turkey",3,2,12,76,992,NA,Notebooks Expert
NA,2,3,29,138,521,NA,Datasets Expert
NA,83,NA,21,157,88,NA,Competitions Grandmaster
"Melbourne, Victoria, Australia",56,62,35,170,497,NA,Competitions Master
"Hanover, Lower Saxony, Germany",21,NA,NA,85,NA,NA,Competitions Expert
"Chennai, Tamil Nadu, India",23,1,116,866,70,NA,Notebooks Expert
"Warsaw, Masovian Voivodeship, Poland",2,1,NA,133,NA,NA,Discussion Expert
"Bengaluru, Karnataka, India",27,23,46,200,240,NA,Competitions Expert
"Berlin, Berlin, Germany",23,NA,3,509,NA,NA,Competitions Expert
"Lahore, Punjab, Pakistan",2,20,81,185,485,NA,Notebooks Expert
"Pune, Maharashtra, India",42,2,14,142,160,NA,Competitions Expert
NA,11,NA,5,168,NA,NA,Competitions Expert
"Beijing, Beijing, China",42,4,10,157,NA,NA,Competitions Expert
