Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Tiruchirappalli, Tamil Nadu, India",10,9,19,112,495,3980,Competitions Expert
"Paris, Île-de-France, France",8,3,7,49,226,3981,Notebooks Expert
"Patiala, Punjab, India",3,4,7,7,1293,4049,Datasets Expert
"Istanbul, Istanbul, Turkey",13,1,14,16,490,4050,Notebooks Expert
"Lviv, Lviv Oblast, Ukraine",6,2,18,21,663,3982,Notebooks Expert
"Bengaluru, Karnataka, India",6,NA,15,59,287,3983,Notebooks Expert
"Hangzhou, Zhejiang, China",14,NA,8,163,194,3985,Competitions Master
"Mumbai, Maharashtra, India",NA,NA,9,13,972,3986,Notebooks Expert
"Tallahassee, Florida, United States",4,NA,22,6,3483,3988,Notebooks Expert
"Bengaluru, Karnataka, India",10,3,15,75,251,3989,Notebooks Expert
"São Paulo, State of São Paulo, Brazil",5,2,12,14,2421,3991,Notebooks Expert
"New Delhi, Delhi, India",2,NA,5,4,972,3993,Notebooks Expert
"New Delhi, Delhi, India",6,2,11,127,1810,3994,Notebooks Expert
"Ahmedabad, Gujarat, India",4,3,10,9,812,3995,Notebooks Expert
"İstanbul, İstanbul, Turkey",1,4,9,64,788,3996,Notebooks Expert
"New Brunswick, New Jersey, United States",3,1,7,82,1085,3997,Notebooks Expert
"Gwalior, Madhya Pradesh, India",3,5,35,12,1820,3998,Notebooks Expert
"Mathura, Uttar Pradesh, India",NA,NA,5,5,751,3999,Notebooks Expert
"Guna, Madhya Pradesh, India",7,1,5,29,1050,4000,Notebooks Expert
"Tunis, Tunis, Tunisia",8,4,9,93,563,4001,Competitions Expert
"Pune, Maharashtra, India",3,1,5,11,762,4002,Notebooks Expert
"Bengaluru, Karnataka, India",3,3,10,12,622,4003,Notebooks Expert
"Bengaluru, Karnataka, India",NA,2,5,2,1067,4004,Notebooks Expert
"Chennai, Tamil Nadu, India",NA,NA,6,6,1709,4005,Notebooks Expert
"Bengaluru, Karnataka, India",4,NA,5,13,1721,4006,Notebooks Expert
"Provo, Utah, United States",4,NA,5,3,1207,4007,Notebooks Expert
"Bhawanipatna, Odisha, India",NA,3,5,58,521,4008,Datasets Expert
"Hong Kong, Hong Kong",1,1,9,5,2596,4063,Notebooks Expert
"Agra, Uttar Pradesh, India",NA,NA,5,25,713,4009,Notebooks Expert
"Thane, Maharashtra, India",NA,NA,6,8,749,4010,Notebooks Expert
NA,2,5,6,107,967,4011,Datasets Expert
"Gwalior, Madhya Pradesh, India",NA,1,5,4,1327,4012,Notebooks Expert
"Delhi, Delhi, India",1,NA,5,205,626,4013,Notebooks Expert
"Kathmandu, Central Development Region, Nepal",NA,3,6,48,1065,4014,Datasets Expert
"Delhi, Delhi, India",9,2,8,14,923,4015,Notebooks Expert
"Chennai, Tamil Nadu, India",NA,NA,11,15,1081,4016,Notebooks Expert
"Karachi, Sindh, Pakistan",NA,2,6,29,913,4017,Notebooks Expert
"Delhi, Delhi, India",1,2,10,29,700,4019,Notebooks Expert
"São Paulo, State of São Paulo, Brazil",NA,1,7,68,753,4021,Notebooks Expert
"Noida, Uttar Pradesh, India",NA,NA,5,6,728,4022,Notebooks Expert
"New Delhi, Delhi, India",NA,NA,5,21,846,4024,Notebooks Expert
"Meerut, Uttar Pradesh, India",NA,NA,6,5,945,4025,Notebooks Expert
"Berlin, Berlin, Germany",NA,3,8,80,1085,4026,Notebooks Expert
"Vellore, Tamil Nadu, India",NA,1,4,96,1943,4027,Notebooks Expert
"Hyderabad, Telangana, India",3,4,6,102,1259,4028,Datasets Expert
NA,NA,NA,2,NA,2191,4029,Notebooks Expert
"Moscow, Russia",90,3,12,216,177,4071,Competitions Master
"Boston, Massachusetts, United States",51,1,7,896,2306,4030,Competitions Grandmaster
"Reston, Virginia, United States",8,NA,12,86,10,4031,Notebooks Expert
NA,25,NA,13,242,15,4032,Competitions Grandmaster
"Bydgoszcz, Kuyavian-Pomeranian Voivodeship, Poland",104,NA,61,439,63,4033,Competitions Expert
"Bengaluru, Karnataka, India",3,1,16,111,297,4034,Notebooks Expert
NA,1,NA,6,24,1325,4035,Notebooks Expert
"London, England, United Kingdom",88,6,44,99,285,4036,Competitions Expert
"Bengaluru, Karnataka, India",5,6,8,88,102,4037,Notebooks Expert
"Berlin, Berlin, Germany",NA,3,357,187,299,4038,Notebooks Expert
NA,12,1,5,1,57,4039,Notebooks Expert
"Ahmedabad, Gujarat, India",7,2,22,52,96,4040,Notebooks Expert
"Seattle, Washington, United States",7,NA,13,98,69,4041,Notebooks Expert
"Cleveland, Ohio, United States",NA,84,11,34,30,4042,Datasets Grandmaster
"Perth, Western Australia, Australia",48,1,13,141,397,4043,Competitions Expert
"Delhi, Delhi, India",11,6,32,57,153,4044,Notebooks Expert
"Greater Noida, Uttar Pradesh, India",NA,5,13,6,679,4045,Notebooks Expert
"Austin, Texas, United States",13,3,11,102,546,4046,Notebooks Expert
"Hong Kong, Hong Kong",NA,NA,16,5,1708,4083,Notebooks Expert
"Jakarta, Jakarta, Indonesia",7,4,7,68,2249,4047,Notebooks Expert
"Pune, Maharashtra, India",7,1,7,28,722,4048,Notebooks Expert
"Kyiv, Ukraine",44,1,14,13,1278,4051,Notebooks Expert
"Bengaluru, Karnataka, India",NA,6,11,115,457,4052,Notebooks Expert
"Ahmedabad, Gujarat, India",11,NA,21,51,96,4053,Notebooks Expert
"New Delhi, Delhi, India",2,10,6,18,802,4054,Notebooks Expert
"Bengaluru, Karnataka, India",72,18,11,726,716,4055,Competitions Expert
"Delhi, Delhi, India",1,NA,6,13,2586,4056,Notebooks Expert
"New Delhi, Delhi, India",3,3,5,334,928,4057,Datasets Expert
"Delhi, Delhi, India",4,3,14,160,1407,4058,Notebooks Expert
"Greater Noida, Uttar Pradesh, India",3,4,7,10,556,4059,Notebooks Expert
"Dublin, County Dublin, Ireland",6,4,6,17,1160,4060,Notebooks Expert
"Davanagere, Karnataka, India",NA,2,12,155,772,4061,Notebooks Expert
"Mumbai, Maharashtra, India",4,NA,5,28,806,4062,Notebooks Expert
"İstanbul, Istanbul, Turkey",NA,2,9,11,1211,4064,Notebooks Expert
"San Francisco, California, United States",3,3,9,11,845,4065,Notebooks Expert
NA,NA,NA,6,26,749,4066,Notebooks Expert
"Kolkata, West Bengal, India",NA,4,9,21,1872,4067,Notebooks Expert
"Silchar, Assam, India",NA,NA,12,13,1440,4068,Notebooks Expert
"Bengaluru, Karnataka, India",NA,NA,8,18,840,4069,Notebooks Expert
"Tehran, Tehran Province, Iran",NA,1,7,1,1542,4070,Notebooks Expert
"San Ramon, California, United States",46,5,9,255,2456,4072,Competitions Grandmaster
United States,44,5,10,276,239,4118,Competitions Master
"Bengaluru, Karnataka, India",38,6,10,46,885,4074,Competitions Expert
"Pune, Maharashtra, India",24,3,6,21,1348,4075,Competitions Expert
"London, England, United Kingdom",9,NA,9,26,478,4076,Notebooks Expert
NA,83,NA,17,157,88,4077,Competitions Grandmaster
"Stavanger, Rogaland, Norway",20,NA,13,278,58,4078,Competitions Expert
"Palermo, Sicily, Italy",12,NA,27,113,22,4079,Competitions Master
"Frankfurt, Hessen, Germany",20,NA,24,161,12,4080,Competitions Expert
"Chennai, Tamil Nadu, India",20,NA,15,6,253,4081,Notebooks Expert
"Chennai, Tamil Nadu, India",6,NA,13,169,154,4082,Notebooks Expert
"Rio de Janeiro, State of Rio de Janeiro, Brazil",5,1,8,607,623,4128,Notebooks Expert
"Delhi, Delhi, India",11,NA,9,54,1158,4084,Notebooks Expert
"Bengaluru, Karnataka, India",8,7,12,27,355,4085,Competitions Expert
"Dubai, Dubai, United Arab Emirates",4,NA,7,167,380,4086,Notebooks Expert
"Bengaluru, Karnataka, India",NA,2,8,17,962,4087,Notebooks Expert
