Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Mumbai, Maharashtra, India",NA,1,42,10,1361,2102,Notebooks Expert
"San Francisco, California, United States",NA,12,13,48,1696,2103,Datasets Expert
"Cairo, Cairo Governorate, Egypt",NA,NA,19,32,482,2105,Notebooks Expert
"Patiala, Punjab, India",NA,NA,38,250,730,2062,Notebooks Expert
"Kolkata, West Bengal, India",1,NA,6,136,289,2106,Notebooks Expert
"Chennai, Tamil Nadu, India",1,1,34,16,334,2149,Notebooks Expert
"İstanbul, İstanbul, Turkey",1,1,9,116,539,2107,Notebooks Expert
"Athens, Greece",3,1,5,8,1943,2150,Notebooks Expert
"Seoul, Seoul, South Korea",18,7,27,163,926,2109,Notebooks Expert
"Busan, Busan, South Korea",2,4,8,226,1233,2110,Datasets Expert
"New Delhi, Delhi, India",NA,NA,8,165,347,2111,Notebooks Expert
"Beijing, Beijing, China",6,3,6,42,341,2154,Competitions Expert
"Tiruppur, Tamil Nadu, India",NA,4,10,161,696,2115,Notebooks Expert
"Brussels, Brussels, Belgium",NA,NA,14,122,610,2117,Notebooks Expert
"Karachi, Sindh, Pakistan",8,NA,7,26,1229,2118,Notebooks Expert
"Rewari, Haryana, India",1,NA,7,120,1744,1774,Notebooks Expert
"Vizianagaram, Andhra Pradesh, India",5,1,13,24,864,2156,Notebooks Expert
"Bengaluru, Karnataka, India",NA,NA,6,82,1063,2120,Notebooks Expert
"Kolkata, West Bengal, India",2,2,10,21,1123,2157,Notebooks Expert
"Jalandhar, Punjab, India",4,2,14,35,1593,2123,Notebooks Expert
"Greater Noida, Uttar Pradesh, India",1,2,5,39,1903,2126,Notebooks Expert
NA,8,NA,8,10,1530,2127,Notebooks Expert
"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2,2,14,20,1986,2129,Notebooks Expert
"Tanta, Gharbia Governorate, Egypt",NA,1,6,24,1957,2162,Notebooks Expert
"İstanbul, İstanbul, Turkey",NA,2,8,4,1082,2163,Notebooks Expert
NA,4,1,9,3,2047,2130,Notebooks Expert
