,Title,Total Views,Upload Time,Duration,Subtitles,Link
41,"Eating A $10,000 Golden Steak (24k Gold)",107M views,3 years ago,16:30,,https://www.youtube.com/watch?v=7zi0bi-RDj4
42,I Got Hunted By The FBI,107M views,1 year ago,15:51,CC,https://www.youtube.com/watch?v=hxwpkM5w3Cc
43,I Won Every Prize At A Theme Park,106M views,3 years ago,13:22,CC,https://www.youtube.com/watch?v=UQtltNZ_pjs
44,Do Water Repellent Shoes Actually Work?,104M views,4 years ago,11:39,,https://www.youtube.com/watch?v=wbzD04leeLI
45,Spending 24 Hours Straight Under Water Challenge,104M views,4 years ago,15:11,,https://www.youtube.com/watch?v=6_im_hGxGRk
46,Make This Video The Most Liked Video On Youtube,104M views,3 years ago,13:11,,https://www.youtube.com/watch?v=dBxOYE2j55U
47,"Would You Rather Have A Giant Diamond or $100,000?",103M views,2 years ago,13:25,CC,https://www.youtube.com/watch?v=Vl3swga-Xrk
48,"Last To Take Hand Off Lamborghini, Keeps It",103M views,11 months ago,15:43,CC,https://www.youtube.com/watch?v=qIsgdOVGA04
49,I Survived 24 Hours Straight In Ice,102M views,1 year ago,11:34,CC,https://www.youtube.com/watch?v=SZQhgExjBvQ
50,"$50,000 Game Of Extreme Hide And Seek - Challenge",102M views,2 years ago,15:03,CC,https://www.youtube.com/watch?v=X1jMMFOqxEw
51,"$10,000 Every Day You Survive Prison",100M views,6 months ago,13:59,CC,https://www.youtube.com/watch?v=hD1YtmKXNb4
52,I Spent 24 Hours Straight In Insane Asylum,100M views,3 years ago,15:56,,https://www.youtube.com/watch?v=nuM0Z4a7kMs
53,Surviving 24 Hours Straight In A Desert,100M views,3 years ago,14:04,,https://www.youtube.com/watch?v=Ooke4YZv8Ts
54,I Opened A Free Car Dealership,99M views,3 years ago,16:39,CC,https://www.youtube.com/watch?v=3LLnjRLrvLU
55,Things That SHOULDN'T Be Sold On Amazon,99M views,4 years ago,14:06,,https://www.youtube.com/watch?v=P4qWhSZ7_WA
56,I Sold My House For $1,99M views,1 year ago,9:20,CC,https://www.youtube.com/watch?v=vJH28ICkCdU
57,Spending 24 Hours In A City With No Laws,99M views,3 years ago,14:29,,https://www.youtube.com/watch?v=H1WBdh56Vq4
