Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Bengaluru, Karnataka, India",5,NA,15,42,760,1968,Notebooks Expert
NA,2,1,9,64,434,1942,Notebooks Expert
"Varanasi, Uttar Pradesh, India",3,1,7,21,1754,1943,Notebooks Expert
"Toukh, Al Qalyubia Governorate, Egypt",NA,NA,6,15,1928,1944,Notebooks Expert
"Tehran, Tehran Province, Iran",NA,1,6,16,607,1972,Notebooks Expert
"Corres, Basque Country, Spain",8,6,21,7,1081,1946,Notebooks Expert
"Bilaspur, Chhattisgarh, India",3,1,8,1,1134,1947,Notebooks Expert
NA,NA,NA,13,6,1222,1975,Notebooks Expert
"Thane, Maharashtra, India",NA,NA,6,41,1818,1976,Notebooks Expert
NA,1,NA,6,36,1494,1977,Notebooks Expert
NA,NA,NA,5,68,1831,1923,Notebooks Expert
"Paris, Île-de-France, France",1,1,7,10,1515,1517,Notebooks Expert
"Bad Rappenau, Baden-Württemberg, Germany",18,NA,18,115,778,1979,Notebooks Expert
"San Francisco, California, United States",15,36,28,31,1592,1982,Datasets Expert
"Košice, Košice Region, Slovakia",NA,1,14,62,1031,1983,Notebooks Expert
"Milan, Lombardy, Italy",15,NA,7,151,1179,1952,Notebooks Expert
"Phagwara, Punjab, India",1,5,19,459,263,1985,Datasets Expert
"Shenzhen, Guangdong Province, China",14,6,44,102,1050,1955,Notebooks Expert
"Noida, Uttar Pradesh, India",NA,9,13,9,501,1988,Notebooks Expert
"Bengaluru, Karnataka, India",10,7,16,43,311,1957,Competitions Expert
"Ariana, Ariana, Tunisia",3,6,11,7,1706,1958,Notebooks Expert
"Adana, Adana, Turkey",NA,4,61,118,252,1959,Notebooks Expert
"İstanbul, İstanbul, Turkey",NA,NA,30,12,515,1989,Notebooks Expert
"Athens, Greece",20,9,20,46,1634,1960,Notebooks Expert
"Boston, Massachusetts, United States",2,2,10,22,632,1961,Notebooks Expert
"Fnideq, Tangier-Tétouan-Al Hoceima, Morocco",24,4,12,34,1827,1991,Notebooks Expert
"İstanbul, İstanbul, Turkey",1,1,7,13,1836,1995,Notebooks Expert
"Tel Aviv-Yafo, Tel Aviv District, Israel",1,3,9,272,297,1996,Datasets Expert
"Jamshedpur, Jharkhand, India",6,NA,75,171,536,1965,Notebooks Expert
"Jamshedpur, Jharkhand, India",10,4,7,93,900,1969,Notebooks Expert
"Bharatpur, Rajasthan, India",NA,3,14,231,502,2000,Datasets Expert
"Centreville, Virginia, United States",4,3,14,30,1484,1970,Notebooks Expert
"Dubai, Dubai, United Arab Emirates",NA,2,7,5,1707,1971,Notebooks Expert
"Erode, Tamil Nadu, India",6,2,9,53,820,1973,Notebooks Expert
"Alanya, Antalya, Turkey",NA,NA,5,21,969,1974,Notebooks Expert
NA,NA,1,6,63,1706,1922,Notebooks Expert
"Barcelona, Catalonia, Spain",7,2,13,28,1246,1978,Notebooks Expert
"Denver, Colorado, United States",34,NA,13,23,192,2009,Competitions Expert
"Moscow, Russia",55,4,6,278,157,1980,Competitions Master
"Kalamazoo, Michigan, United States",12,NA,12,15,1281,2010,Notebooks Expert
"Raipur, Chhattisgarh, India",3,8,46,29,1793,1984,Notebooks Expert
"Istanbul, Istanbul, Turkey",1,2,6,54,286,2012,Notebooks Expert
"Louth, County Louth, Ireland",NA,NA,6,250,778,1986,Notebooks Expert
"Philadelphia, Pennsylvania, United States",7,NA,7,179,62,1987,Competitions Expert
"Cairo, Cairo Governorate, Egypt",4,NA,35,13,1892,2016,Notebooks Expert
"Bengaluru, Karnataka, India",10,5,12,364,1243,1244,Datasets Expert
"İstanbul, Istanbul, Turkey",4,16,50,279,845,2017,Datasets Expert
"Bengaluru, Karnataka, India",3,1,8,112,758,2018,Notebooks Expert
"Tunis, Tunis, Tunisia",3,NA,10,123,472,2020,Notebooks Expert
"Ho Chi Minh City, Ho Chi Minh City, Vietnam",7,2,11,41,1202,2022,Notebooks Expert
NA,2,3,37,35,983,1992,Notebooks Expert
"Bengaluru, Karnataka, India",NA,2,9,31,1366,2025,Notebooks Expert
"Seoul, Seoul, South Korea",NA,NA,9,10,1967,1994,Notebooks Expert
"İstanbul, İstanbul, Turkey",NA,NA,13,195,675,1997,Notebooks Expert
"Kyiv, Ukraine",4,1,6,35,467,2026,Competitions Expert
"Kyiv, Ukraine",2,1,5,240,410,1998,Notebooks Expert
"Dhaka, Dhaka Division, Bangladesh",6,NA,17,17,1948,1999,Notebooks Expert
NA,2,5,10,154,1430,2001,Notebooks Expert
"São Paulo, State of São Paulo, Brazil",2,4,9,52,1155,2003,Datasets Expert
NA,NA,NA,7,9,1911,1912,Notebooks Expert
"Amman, Amman Governorate, Jordan",NA,1,21,268,1169,2004,Notebooks Expert
"Bengaluru, Karnataka, India",NA,NA,8,41,1410,2005,Notebooks Expert
"Indore, Madhya Pradesh, India",4,4,18,44,1208,2033,Notebooks Expert
"Kolkata, West Bengal, India",1,3,11,21,1271,2006,Datasets Expert
"Tehran, Tehran Province, Iran",NA,NA,17,31,764,2034,Notebooks Expert
NA,NA,1,5,2,1247,2037,Notebooks Expert
NA,3,NA,11,221,1869,2007,Notebooks Expert
"Pune, Maharashtra, India",2,4,5,7,1336,2039,Datasets Expert
"Sri City, Andhra Pradesh, India",6,NA,7,11,NA,1755,Notebooks Expert
"Nashville, Tennessee, United States",17,1,8,18,1779,2008,Notebooks Expert
"Bengaluru, Karnataka, India",14,1,18,244,312,2011,Notebooks Expert
"Athens, Greece",45,41,16,488,575,2013,Competitions Master
"Shiraz, Fars Province, Iran",NA,2,5,60,1002,2015,Notebooks Expert
"Cairo, Cairo Governorate, Egypt",1,1,9,217,762,2056,Notebooks Expert
"Karachi, Sindh, Pakistan",NA,NA,8,40,1699,1990,Notebooks Expert
"Faridabad, Haryana, India",1,8,66,47,590,2019,Notebooks Expert
"Navi Mumbai, Maharashtra, India",1,NA,24,101,650,2021,Notebooks Expert
"Moscow, Russia",15,2,14,10,1973,2023,Notebooks Expert
"Rajsamand, Rajasthan, India",3,8,13,146,386,2024,Notebooks Expert
NA,1,1,15,50,1389,2063,Notebooks Expert
"Mumbai, Maharashtra, India",1,7,15,255,471,2027,Datasets Expert
"Moscow, Russia",NA,6,6,78,818,2028,Notebooks Expert
"Saint Petersburg, Russia",2,1,9,25,669,2029,Notebooks Expert
"İstanbul, İstanbul, Turkey",NA,NA,6,68,894,2067,Notebooks Expert
"Vadodara, Gujarat, India",NA,6,13,63,1543,2030,Datasets Expert
"Akhisar, Manisa, Turkey",NA,NA,7,381,NA,1198,Notebooks Expert
"Montevideo, Montevideo Department, Uruguay",2,1,8,33,1960,2002,Notebooks Expert
NA,8,NA,15,39,1129,2072,Notebooks Expert
