Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
"Karachi, Sindh, Pakistan",1,2,8,54,2022,2044,Notebooks Expert
NA,2,139,51,52,1167,2167,Datasets Expert
"Luxembourg, Luxembourg District, Luxembourg",NA,1,15,34,544,2136,Notebooks Expert
"São Paulo, State of São Paulo, Brazil",11,NA,24,10,1441,2137,Notebooks Expert
"Tehran, Tehran Province, Iran",NA,NA,12,31,1022,2138,Notebooks Expert
"Washington, District of Columbia, United States",1,8,20,13,333,2172,Notebooks Expert
"Beijing, Beijing, China",50,34,12,360,1400,2141,Discussion Master
,5,2,9,240,1184,2174,Notebooks Expert
"Bengaluru, Karnataka, India",6,4,25,192,546,2098,Notebooks Expert
"Bengaluru, Karnataka, India",2,1,10,61,2121,2143,Notebooks Expert
"Moscow, Russia",16,NA,31,8,498,2144,Notebooks Expert
"New Delhi, Delhi, India",4,1,9,79,545,2145,Notebooks Expert
"Jersey City, New Jersey, United States",1,3,5,32,1741,2146,Datasets Expert
"Tokyo, Tokyo, Japan",11,NA,7,43,857,2181,Competitions Expert
"Pithoragarh, Uttarakhand, India",15,14,26,34,1127,2149,Notebooks Expert
"Noida, Uttar Pradesh, India",NA,1,7,149,828,2183,Notebooks Expert
"Mumbai, Maharashtra, India",NA,5,49,13,649,2150,Notebooks Expert
"Ho Chi Minh City, Ho Chi Minh City, Vietnam",2,35,34,179,1573,2151,Notebooks Expert
NA,2,8,33,10,1036,2185,Datasets Expert
"Antalya, Antalya, Turkey",1,1,13,43,2030,2154,Notebooks Expert
"Thane, Maharashtra, India",17,7,6,21,1096,2155,Competitions Expert
"Moscow, Russia",3,1,5,4,1259,2156,Notebooks Expert
"Muzaffarnagar, Uttar Pradesh, India",2,NA,9,26,1991,2069,Notebooks Expert
"Crewe, England, United Kingdom",2,2,17,17,952,2158,Notebooks Expert
"Tiruchirappalli, Tamil Nadu, India",NA,NA,20,16,1438,2191,Notebooks Expert
"Lima, Callao Region, Peru",21,6,26,28,1370,2192,Notebooks Expert
"Thane, Maharashtra, India",NA,NA,10,28,1029,2194,Notebooks Expert
NA,4,NA,5,38,911,2195,Notebooks Expert
"Karachi, Sindh, Pakistan",3,3,10,24,2075,2198,Notebooks Expert
"Pune, Maharashtra, India",NA,1,16,35,843,2161,Notebooks Expert
NA,2,NA,43,11,1239,2162,Notebooks Expert
"Karachi, Sindh, Pakistan",3,1,5,34,1749,1751,Notebooks Expert
"Varanasi, Uttar Pradesh, India",2,6,11,15,1791,2127,Datasets Expert
"6th of October City, Giza Governorate, Egypt",NA,3,9,43,1754,2163,Notebooks Expert
"Indore, Madhya Pradesh, India",1,1,9,11,1761,2166,Notebooks Expert
"Bengaluru, Karnataka, India",7,NA,21,5,2007,2008,Notebooks Expert
,NA,NA,6,8,1918,2084,Notebooks Expert
"Chennai, Tamil Nadu, India",6,NA,8,36,38,2134,Notebooks Expert
"San Diego, California, United States",17,6,9,23,496,2205,Competitions Master
"Islamabad, Islamabad Capital Territory, Pakistan",3,6,31,55,923,2168,Datasets Expert
"Tokyo, Tokyo, Japan",38,5,30,83,89,2169,Competitions Expert
