Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined
Digant Dixit,2107,expert,https://www.kaggle.com/digantdixit,0,0,5,48,a year ago
Nikhil Sharma,2108,expert,https://www.kaggle.com/nikhilsharma24,0,0,6,48,a year ago
Phúc Đỗ Vương,2109,expert,https://www.kaggle.com/phuc16102001,0,0,5,48,a year ago
Ahmed Elgebaly,2110,expert,https://www.kaggle.com/ahmedsafwatgb20,0,1,4,48,a year ago
Sener Alkan,2111,expert,https://www.kaggle.com/seneralkan,0,2,5,48,a year ago
Mikołaj Hojda,2112,expert,https://www.kaggle.com/mikolajhojda,0,0,5,48,10 months ago
Danish Asif,2113,expert,https://www.kaggle.com/danishasif,0,0,6,48,6 months ago
Liling Tan,2114,expert,https://www.kaggle.com/alvations,1,1,4,47,9 years ago
Yann Claudel,2115,expert,https://www.kaggle.com/yclaudel,1,1,5,47,6 years ago
Felipe Peressim,2116,expert,https://www.kaggle.com/peressim,0,0,9,47,6 years ago
hamidreza samsami,2117,expert,https://www.kaggle.com/persix,0,0,8,47,5 years ago
Jeff Hale,2118,expert,https://www.kaggle.com/discdiver,2,3,2,47,5 years ago
Dewei Chen,2119,expert,https://www.kaggle.com/dwchen,0,0,9,47,4 years ago
Mykola,2120,expert,https://www.kaggle.com/meowmeowmeowmeowmeow,0,1,5,47,4 years ago
shyambhu Mukherjee,2121,expert,https://www.kaggle.com/shyambhu,0,1,11,47,4 years ago
Siddhant Sadangi,2122,expert,https://www.kaggle.com/siddhantsadangi,0,2,4,47,4 years ago
Alex Lekov,2123,expert,https://www.kaggle.com/itslek,1,2,6,47,4 years ago
Kabir,2124,expert,https://www.kaggle.com/kabirnagpal,0,3,5,47,4 years ago
Siddharth Mandgi,2125,expert,https://www.kaggle.com/siddharthmandgi,0,0,5,47,4 years ago
ganchan,2126,expert,https://www.kaggle.com/iwatatakuya,0,2,5,47,3 years ago
Tarun,2127,expert,https://www.kaggle.com/tarunbisht11,0,0,11,47,3 years ago
Siddharth Tyagi,2128,expert,https://www.kaggle.com/siddharthtyagi,0,2,5,47,3 years ago
Ashraf Khan,2129,expert,https://www.kaggle.com/ashrafkhan94,0,0,12,47,3 years ago
Tuan Nguyen Van Anh,2130,expert,https://www.kaggle.com/tuannguyenvananh,0,1,4,47,3 years ago
Vsevolod Cherepanov,2131,expert,https://www.kaggle.com/vsevolodcherepanov,0,0,8,47,3 years ago
tolga_,2132,expert,https://www.kaggle.com/soraka,0,0,5,47,2 years ago
TUSHAR SARKAR,2133,expert,https://www.kaggle.com/tusharsarkar,0,1,5,47,2 years ago
miracl16,2134,expert,https://www.kaggle.com/miracl16,0,4,1,47,2 years ago
Ayush Rathi,2135,expert,https://www.kaggle.com/ayushrathi47,0,0,5,47,2 years ago
Kiran Clement,2136,expert,https://www.kaggle.com/kiranclement,0,0,8,47,2 years ago
Sabarishwaran G,2137,expert,https://www.kaggle.com/sabarish2611,0,0,5,47,2 years ago
CRISTIAN CARTAGENA MATOS,2138,expert,https://www.kaggle.com/cristianminas,0,1,6,47,2 years ago
Tanvi Kurade,2139,expert,https://www.kaggle.com/tanvikurade,0,0,9,47,2 years ago
Sémi Ben Hsan,2140,expert,https://www.kaggle.com/samibenhsan,0,4,1,47,2 years ago
mahwiz khalil,2141,expert,https://www.kaggle.com/mahwiz,0,0,5,47,a year ago
Tanay .M. Patare,2142,expert,https://www.kaggle.com/tanaypatare,0,0,15,47,a year ago
